config_id,model_valid,window_start,window_end,W,representation,grouping_method,total_nnz,regular_slots,anchor_slots,anchor_true_nnz,anchor_holes,sparse_additions,support_metadata_bits,value_bytes,total_transfer_bytes,byte_ratio_to_dense,byte_ratio_to_independent,byte_ratio_to_phase0,byte_ratio_to_delta_v1,metadata_ratio_to_full_bitmap,analytical_proxy_speedup_rho1_10,analytical_proxy_speedup_rho1_25,analytical_proxy_speedup_rho1_50,replay_amplification,independently_decodable,exact_decode_pass
cora_gcnii16,True,12,15,4,R2_CHAIN_GAP,window_cost_cluster,565480,0,0,0,0,565480,255062,2261920,2315776,0.8351181683899557,0.7173102846721117,0.9072309698124561,0.9805164891743219,0.3679231674667651,1.1074001539901663,0.97525730266897,0.8134746763106573,1.3676204217013903,False,True
cora_gcnii16,True,12,15,4,R3_MOSAIC_ANCHOR,window_cost_cluster,565480,547192,547192,547192,0,18288,430292,2261920,2338624,0.8433576440177253,0.7243874395369122,0.916181927590011,0.9901904994173916,0.6206898541358936,1.2076801186273676,1.201936280289055,1.1924836758705628,1.0,True,True
pubmed_gcnii16,True,4,7,4,R0_INDEPENDENT,window_cost_cluster,3180362,0,0,0,0,3180362,5126420,12721448,20305984,1.0057342648475935,1.0,1.3838085144429761,1.5179529133715117,1.015625,0.7836809725462188,0.7836809725462188,0.7836809725462188,1.0,True,True
pubmed_gcnii16,True,4,7,4,R1_DELTA_V1,window_cost_cluster,3180362,2677360,2677360,2619439,57921,560923,1595504,12721448,13377216,0.6625595932444084,0.6587819629917959,0.9116280895495048,1.0,0.3160946137850586,1.5206651825609414,1.48307196203845,1.4243836447168046,1.0,False,True
pubmed_gcnii16,True,4,7,4,R2_CHAIN_GAP,window_cost_cluster,3180362,0,0,0,0,3180362,2132908,12721448,13154752,0.6515411827357103,0.6478263747277649,0.8964676532290072,0.9833699328769155,0.42256285819343714,1.4292029289255006,1.259124379377813,1.0507261853463978,1.4570037713769182,False,True
pubmed_gcnii16,True,4,7,4,R3_MOSAIC_ANCHOR,window_cost_cluster,3180362,2983928,2983928,2983928,0,196434,3231392,12721448,13290048,0.6582422528782269,0.6544892382462234,0.9056877804964214,0.9934838459661561,0.6401899376172846,1.5528557422798561,1.538905868254856,1.5162048259724188,1.0,True,True
pubmed_gcnii16,True,8,11,4,R0_INDEPENDENT,window_cost_cluster,3381808,0,0,0,0,3381808,5126420,13527232,20952832,1.0377719734239488,1.0,1.3532008465048608,1.47923839473708,1.015625,0.7375454011321625,0.7375454011321625,0.7375454011321625,1.0,True,True
pubmed_gcnii16,True,8,11,4,R1_DELTA_V1,window_cost_cluster,3381808,2887960,2887960,2829236,58724,552572,1405056,13527232,14164608,0.7015582999442106,0.6760235561474458,0.91479564843595,1.0,0.27836384845564743,1.434883592412317,1.401852842933832,1.350056114681505,1.0,False,True
pubmed_gcnii16,True,8,11,4,R2_CHAIN_GAP,window_cost_cluster,3381808,0,0,0,0,3381808,1906387,13527232,13930112,0.6899439569914287,0.6648319425269099,0.8996511474108855,0.9834449354334409,0.37768546019932037,1.346093986180724,1.1856929966493213,0.9892311611954924,1.3867614498000669,False,True
pubmed_gcnii16,True,8,11,4,R3_MOSAIC_ANCHOR,window_cost_cluster,3381808,3221980,3221980,3221980,0,159828,3119404,13527232,14086080,0.6976688897905361,0.6722757095556343,0.9097240592553403,0.9944560414238078,0.618003341025511,1.464530807462737,1.4544138520434773,1.4378593365034755,1.0,True,True
pubmed_gcnii16,True,12,15,4,R0_INDEPENDENT,window_cost_cluster,3584176,0,0,0,0,3584176,5126420,14336704,21688064,1.0741872495815794,1.0,1.3314369457682924,1.4485842281649681,1.015625,0.6963626583493057,0.6963626583493057,0.6963626583493057,1.0,True,True
pubmed_gcnii16,True,12,15,4,R1_DELTA_V1,window_cost_cluster,3584176,3129340,3129340,3068688,60652,515488,1216664,14336704,14971904,0.7415428310594918,0.6903292059632432,0.9191298095623509,1.0,0.24104040929147436,1.358553204055846,1.330855949741491,1.2871210427013784,1.0,False,True
pubmed_gcnii16,True,12,15,4,R2_CHAIN_GAP,window_cost_cluster,3584176,0,0,0,0,3584176,1730522,14336704,14720896,0.7291106659228077,0.6787556510345967,0.9037203509364723,0.9832347308665618,0.34284381815184867,1.2715410308901054,1.1198714962083394,0.934160284152067,1.3072275301903125,False,True
pubmed_gcnii16,True,12,15,4,R3_MOSAIC_ANCHOR,window_cost_cluster,3584176,3484540,3484540,3484540,0,99636,2805793,14336704,14854144,0.7357103007556931,0.6848994912593397,0.9119004868005924,0.99213460091649,0.55587203460212,1.3874598451679483,1.3817832608708744,1.3724248097046223,1.0,True,True
cora_deepres28_w128,True,4,7,4,R0_INDEPENDENT,window_cost_cluster,672712,0,0,0,0,672712,1397328,2690848,3658176,0.6596081056129985,1.0,1.1139933736113818,1.2597580058625173,1.0078125,0.9840308120340125,0.9840308120340125,0.9840308120340125,1.0,True,True
cora_deepres28_w128,True,4,7,4,R1_DELTA_V1,window_cost_cluster,672712,452832,452832,428966,23866,243746,674408,2690848,2903872,0.5235990583456426,0.7938032505817106,0.8842915610992009,1.0,0.48641178914327915,1.8392908945104691,1.7517344191966044,1.622969665459976,1.0,False,True
cora_deepres28_w128,True,4,7,4,R2_CHAIN_GAP,window_cost_cluster,672712,0,0,0,0,672712,883804,2690848,2825856,0.5095319423929099,0.7724767753109747,0.860534008965114,0.9731338020408613,0.6374371076440177,1.784871500565407,1.5741476541476542,1.315331838205534,1.6751225384813828,False,True
cora_deepres28_w128,True,4,7,4,R3_MOSAIC_ANCHOR,window_cost_cluster,672712,540600,540600,540600,0,132112,1214890,2690848,2864896,0.516571270310192,0.7831487604751658,0.8724225297213019,0.986577920789897,0.8762304399002954,1.9086567829875807,1.856466539629624,1.7755489600145695,1.0,True,True
cora_deepres28_w128,True,8,11,4,R0_INDEPENDENT,window_cost_cluster,657294,0,0,0,0,657294,1397328,2629176,3624896,0.6536073670605613,1.0,1.135277610743636,1.2869575096568961,1.0078125,0.9836623461750854,0.9836623461750854,0.9836623461750854,1.0,True,True
cora_deepres28_w128,True,8,11,4,R1_DELTA_V1,window_cost_cluster,657294,462720,462720,441484,21236,215810,557360,2629176,2816640,0.507870199409158,0.7770264305513869,0.8821407095610343,1.0,0.4019917836041359,1.8546147117744984,1.773614511229554,1.6532703510307567,1.0,False,True
cora_deepres28_w128,True,8,11,4,R2_CHAIN_GAP,window_cost_cluster,657294,0,0,0,0,657294,700979,2629176,2739584,0.49397618168389956,0.7557689930966295,0.8580076167568651,0.9726425812315382,0.505575926652511,1.791049412487922,1.578950971719512,1.3186838319821366,1.519009841949616,False,True
cora_deepres28_w128,True,8,11,4,R3_MOSAIC_ANCHOR,window_cost_cluster,657294,579572,579572,579572,0,77722,958753,2629176,2773440,0.5000807791728212,0.7651088472607214,0.8686109440769694,0.9846625766871165,0.6914935203563516,1.9330834683239635,1.9005024537176587,1.848574674886379,1.0,True,True
cora_deepres28_w128,True,12,15,4,R0_INDEPENDENT,window_cost_cluster,635067,0,0,0,0,635067,1397328,2540268,3535680,0.6375207717872969,1.0,1.142062720939367,1.2982938522278624,1.0078125,0.983100200624164,0.983100200624164,0.983100200624164,1.0,True,True
cora_deepres28_w128,True,12,15,4,R1_DELTA_V1,window_cost_cluster,635067,445616,445616,424905,20711,210162,531680,2540268,2723328,0.49104505169867063,0.7702416508281292,0.8796642755256031,1.0,0.38347027326440175,1.853933617495317,1.7723793356790463,1.6513110936896669,1.0,False,True
cora_deepres28_w128,True,12,15,4,R2_CHAIN_GAP,window_cost_cluster,635067,0,0,0,0,635067,656866,2540268,2646528,0.4771971935007385,0.7485202280749389,0.8548570483534202,0.9717992103778906,0.4737597512001477,1.7918544682372282,1.579576612420567,1.3191201877315033,1.4682050829240667,False,True
cora_deepres28_w128,True,12,15,4,R3_MOSAIC_ANCHOR,window_cost_cluster,635067,564548,564548,564548,0,70519,905244,2540268,2676480,0.48259785819793205,0.7569915829486832,0.8645318669505716,0.9827975183305132,0.6529005492983752,1.9354012920716803,1.9047007779581888,1.8556419076616046,1.0,True,True
cora_deepres28_w128,True,16,19,4,R0_INDEPENDENT,window_cost_cluster,598793,0,0,0,0,598793,1397328,2395172,3455232,0.6230151403249631,1.0,1.1764398248022487,1.3475102957693748,1.0078125,0.9820947663643371,0.9820947663643371,0.9820947663643371,1.0,True,True
cora_deepres28_w128,True,16,19,4,R1_DELTA_V1,window_cost_cluster,598793,412336,412336,393851,18485,204942,504096,2395172,2564160,0.4623453655834564,0.74210935763503,0.8730470026802641,1.0,0.36357551698670604,1.8548555469440682,1.770554139953178,1.6458812631764121,1.0,False,True
cora_deepres28_w128,True,16,19,4,R2_CHAIN_GAP,window_cost_cluster,598793,0,0,0,0,598793,623080,2395172,2497600,0.450343888478582,0.7228458175890938,0.8503846070035519,0.9740421814551354,0.44939184822747413,1.7916982778340722,1.5794552358807996,1.3190355376074359,1.4646915323874943,False,True
cora_deepres28_w128,True,16,19,4,R3_MOSAIC_ANCHOR,window_cost_cluster,598793,544664,544664,544664,0,54129,799418,2395172,2517376,0.4539097119645495,0.728569311698896,0.8571179534113442,0.9817546486958693,0.5765743283788775,1.941936143995535,1.9167011101263771,1.8760692631062812,1.0,True,True
cora_deepres28_w128,True,20,23,4,R0_INDEPENDENT,window_cost_cluster,573566,0,0,0,0,573566,1397328,2294264,3368832,0.6074362998522895,1.0,1.1919297133282007,1.3719245204336947,1.0078125,0.9813219546163019,0.9813219546163019,0.9813219546163019,1.0,True,True
cora_deepres28_w128,True,20,23,4,R1_DELTA_V1,window_cost_cluster,573566,389040,389040,371835,17205,201731,486768,2294264,2455552,0.4427621861152142,0.7289030738249933,0.8688012318282686,1.0,0.3510778249630724,1.854549857804566,1.768056044163948,1.6405352935498057,1.0,False,True
cora_deepres28_w128,True,20,23,4,R2_CHAIN_GAP,window_cost_cluster,573566,0,0,0,0,573566,586616,2294264,2391552,0.43122230428360414,0.7099053915422319,0.8461573298310765,0.9739366138448707,0.4230924575332349,1.7921456498366004,1.579802884770979,1.3192779883038246,1.4320236747719122,False,True
