config_id,window_start,representation,M,K,N,scalesim_cycles,scalesim_utilization,dense_scalesim_cycles,analytical_regular_cycles,analytical_residual_cycles,analytical_decode_cycles,hybrid_total_cycles,hybrid_speedup_vs_dense_combination,scalesim_run_success
cora_gcnii16,4,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6092,405.0,93,1653.0,0.6987295825771325,True
cora_gcnii16,4,R3_MOSAIC_ANCHOR,20,53,64,1059.0,14.56043956043956,1059.0,2952,511.25,74,1644.25,0.6440626425421925,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,5340,323.75,86,1564.75,0.7381370826010545,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,58,64,1155.0,23.061630218687878,1155.0,5084,310.0,80,1545.0,0.7475728155339806,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,7260,158.75,72,1385.75,0.8334836731012087,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,62,64,1155.0,24.652087475149106,1155.0,5440,326.25,85,1566.25,0.7374301675977654,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,59,64,1155.0,23.45924453280318,1155.0,5412,451.25,91,1697.25,0.6805125939019001,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,5176,270.0,83,1508.0,0.7659151193633952,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,62,64,1155.0,24.652087475149106,1155.0,5368,372.5,87,1614.5,0.7153917621554661,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,7120,302.5,85,1542.5,0.7487844408427877,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,50,64,1155.0,19.880715705765407,1155.0,4988,485.0,86,1726.0,0.6691772885283893,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,5144,436.25,95,1686.25,0.6849518161601186,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6772,318.75,87,1560.75,0.7400288322921672,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6068,366.25,90,1611.25,0.7168347556245152,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6888,408.75,92,1655.75,0.6975690774573456,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,5712,480.0,98,1733.0,0.6664743219849971,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,63,64,1155.0,25.04970178926441,1155.0,6096,482.5,96,1733.5,0.6662820882607442,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,51,64,1155.0,20.27833001988072,1155.0,5112,376.25,79,1610.25,0.7172799254774104,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,58,64,1155.0,23.061630218687878,1155.0,5736,552.5,96,1803.5,0.6404214028278348,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,4856,460.0,96,1711.0,0.6750438340151957,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,61,64,1155.0,24.2544731610338,1155.0,5236,496.25,96,1747.25,0.6610387752182,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6480,347.5,87,1589.5,0.726643598615917,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,63,64,1155.0,25.04970178926441,1155.0,6240,538.75,98,1791.75,0.6446211804102134,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,63,64,1155.0,25.04970178926441,1155.0,5324,458.75,96,1709.75,0.6755373592630501,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,5968,481.25,96,1732.25,0.666762880646558,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,7416,295.0,84,1534.0,0.7529335071707953,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6508,535.0,100,1790.0,0.6452513966480447,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6000,501.25,98,1754.25,0.6584010260795211,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6656,318.75,85,1558.75,0.7409783480352847,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,63,64,1155.0,25.04970178926441,1155.0,5576,445.0,94,1694.0,0.6818181818181818,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6772,306.25,83,1544.25,0.7479358912093249,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,61,64,1155.0,24.2544731610338,1155.0,5876,521.25,96,1772.25,0.6517139229792637,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,58,64,1155.0,23.061630218687878,1155.0,5636,412.5,88,1655.5,0.6976744186046512,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,62,64,1155.0,24.652087475149106,1155.0,5408,423.75,91,1669.75,0.6917203174127864,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,61,64,1155.0,24.2544731610338,1155.0,5812,521.25,96,1772.25,0.6517139229792637,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,52,64,1155.0,20.675944333996025,1155.0,4800,408.75,84,1647.75,0.700955848884843,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,7324,291.25,84,1530.25,0.7547786309426564,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6384,340.0,88,1583.0,0.7296272899557802,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6588,398.75,92,1645.75,0.7018076864651375,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,60,64,1155.0,23.856858846918488,1155.0,6292,585.0,100,1840.0,0.6277173913043478,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6040,415.0,92,1662.0,0.6949458483754513,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,7560,232.5,78,1465.5,0.7881269191402251,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,7132,232.5,78,1465.5,0.7881269191402251,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,7148,420.0,91,1666.0,0.6932773109243697,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,58,64,1155.0,23.061630218687878,1155.0,5756,537.5,94,1786.5,0.6465155331654072,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,7008,297.5,84,1536.5,0.7517084282460137,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,61,64,1155.0,24.2544731610338,1155.0,6428,273.75,80,1508.75,0.7655343827671914,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,7496,302.5,83,1540.5,0.7497565725413826,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,5936,480.0,96,1731.0,0.6672443674176777,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,63,64,1155.0,25.04970178926441,1155.0,5628,478.75,96,1729.75,0.6677265500794912,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,62,64,1155.0,24.652087475149106,1155.0,6020,423.75,91,1669.75,0.6917203174127864,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6004,485.0,97,1737.0,0.6649395509499136,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,62,64,1155.0,24.652087475149106,1155.0,6496,302.5,82,1539.5,0.7502435855797337,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6296,436.25,92,1683.25,0.6861725828011288,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,59,64,1155.0,23.45924453280318,1155.0,6448,318.75,81,1554.75,0.7428847081524361,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,60,64,1155.0,23.856858846918488,1155.0,5540,498.75,95,1748.75,0.6604717655468192,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,63,64,1155.0,25.04970178926441,1155.0,6196,423.75,92,1670.75,0.6913062995660632,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,7548,258.75,81,1494.75,0.772704465629704,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,63,64,1155.0,25.04970178926441,1155.0,7320,222.5,76,1453.5,0.7946336429308566,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6040,400.0,91,1646.0,0.7017010935601458,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,7088,440.0,94,1689.0,0.6838365896980462,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,5924,322.5,85,1562.5,0.7392,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,7064,295.0,84,1534.0,0.7529335071707953,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,5828,312.5,85,1552.5,0.7439613526570048,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,7728,173.75,74,1402.75,0.8233826412404206,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,62,64,1155.0,24.652087475149106,1155.0,6764,376.25,88,1619.25,0.713293191292265,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,63,64,1155.0,25.04970178926441,1155.0,6416,325.0,84,1564.0,0.7384910485933504,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,7580,213.75,77,1445.75,0.798893307971641,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,53,64,1155.0,21.073558648111334,1155.0,6220,250.0,71,1476.0,0.782520325203252,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,5676,343.75,87,1585.75,0.7283619738294183,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,62,64,1155.0,24.652087475149106,1155.0,6416,318.75,83,1556.75,0.7419303035169423,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,57,64,1155.0,22.664015904572565,1155.0,4600,528.75,96,1779.75,0.6489675516224189,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,7156,286.25,82,1523.25,0.758247168882324,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,56,64,1155.0,22.266401590457257,1155.0,5784,372.5,84,1611.5,0.7167235494880546,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6076,203.75,76,1434.75,0.8050182958703607,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,5420,402.5,92,1649.5,0.7002121855107608,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,50,64,1155.0,19.880715705765407,1155.0,3832,515.0,89,1759.0,0.6566230812961911,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,7416,226.25,78,1459.25,0.7915024841528182,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6704,296.25,84,1535.25,0.7523204689789936,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,61,64,1155.0,24.2544731610338,1155.0,6452,275.0,79,1509.0,0.7654075546719682,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,60,64,1155.0,23.856858846918488,1155.0,5260,267.5,78,1500.5,0.7697434188603799,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,45,64,1155.0,17.892644135188867,1155.0,3976,537.5,86,1778.5,0.649423671633399,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,4820,425.0,93,1673.0,0.6903765690376569,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,60,64,1155.0,23.856858846918488,1155.0,4816,478.75,93,1726.75,0.6688866367453308,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6412,166.25,73,1394.25,0.8284023668639053,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,32,44,64,1155.0,17.495029821073558,1155.0,4120,495.0,83,1733.0,0.6664743219849971,True
cora_gcnii16,8,R3_MOSAIC_ANCHOR,20,43,64,1059.0,11.813186813186814,1059.0,2896,165.0,48,1272.0,0.8325471698113207,True
cora_gcnii16,12,R3_MOSAIC_ANCHOR,32,63,64,1155.0,25.04970178926441,1155.0,5984,280.0,82,1517.0,0.7613711272247857,True
cora_gcnii16,12,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,5552,261.25,82,1498.25,0.7708993826130486,True
cora_gcnii16,12,R3_MOSAIC_ANCHOR,32,57,64,1155.0,22.664015904572565,1155.0,5256,261.25,75,1491.25,0.7745180217937971,True
cora_gcnii16,12,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6920,218.75,78,1451.75,0.7955915274668504,True
cora_gcnii16,12,R3_MOSAIC_ANCHOR,32,60,64,1155.0,23.856858846918488,1155.0,5552,311.25,81,1547.25,0.7464857004362578,True
cora_gcnii16,12,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,5328,270.0,82,1507.0,0.7664233576642335,True
cora_gcnii16,12,R3_MOSAIC_ANCHOR,32,64,64,1155.0,25.447316103379723,1155.0,6988,207.5,77,1439.5,0.8023619312261202,True
