LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
602, 14.426229508196721, 16.78688524590164, 14.426229508196721, 6.704761904761905, 7.801904761904762, 64.0,
603, 14.396728016359917, 16.752556237218815, 14.396728016359917, 6.704761904761905, 7.809342230695901, 64.0,
604, 14.382022471910112, 16.73544433094995, 14.382022471910112, 8.945362134688692, 8.928610354223434, 64.0,
605, 0.9142857142857143, 1.0448979591836736, 14.628571428571428, 0.8517110266159695, 0.973384030418251, 64.0,
606, 0.9124236252545825, 1.0427698574338085, 14.59877800407332, 0.8517110266159695, 1.946768060836502, 64.0,
607, 1.8285714285714285, 2.089795918367347, 14.628571428571428, 1.703422053231939, 1.946768060836502, 64.0,
608, 1.824847250509165, 2.085539714867617, 14.59877800407332, 1.703422053231939, 3.893536121673004, 64.0,
609, 3.657142857142857, 4.179591836734694, 14.628571428571428, 3.406844106463878, 3.893536121673004, 64.0,
610, 3.64969450101833, 4.171079429735234, 14.59877800407332, 3.406844106463878, 7.787072243346008, 64.0,
611, 7.314285714285714, 8.359183673469389, 14.628571428571428, 6.813688212927756, 7.787072243346008, 64.0,
612, 7.29938900203666, 8.342158859470468, 14.59877800407332, 6.813688212927756, 7.801904761904762, 64.0,
613, 14.628571428571428, 16.718367346938777, 14.628571428571428, 6.826666666666667, 7.801904761904762, 64.0,
614, 14.59877800407332, 16.684317718940935, 14.59877800407332, 6.826666666666667, 7.809342230695901, 64.0,
615, 14.583926754832147, 16.66734486266531, 14.583926754832147, 9.108005082592122, 8.928610354223434, 64.0,
616, 0.926829268292683, 1.0406504065040652, 14.829268292682928, 0.8669201520912547, 0.973384030418251, 64.0,
617, 0.9249492900608519, 1.0385395537525355, 14.79918864097363, 0.8669201520912547, 1.946768060836502, 64.0,
618, 1.853658536585366, 2.0813008130081303, 14.829268292682928, 1.7338403041825095, 1.946768060836502, 64.0,
619, 1.8498985801217038, 2.077079107505071, 14.79918864097363, 1.7338403041825095, 3.893536121673004, 64.0,
