config_id,source_config_id,control_type,dataset,pair_start_layer,pair_end_layer,format,deployable,slice_width,feature_cache_bytes,edge_order,value_bytes,support_index_bytes,row_pointer_stream_bytes,selector_stream_bytes,descriptor_bytes,reserved_capacity_bytes,feature_cache_accesses,feature_cache_hits,feature_cache_misses,feature_read_bytes,feature_writeback_bytes,topology_bytes,output_write_bytes,total_traffic_bytes,exact_layout_pass,exact_decode_pass,traffic_ratio_to_independent_best,support_decode_cycles,anchor_variants,selected_xorflow_tile_slices,traffic_ratio_to_beicsr,traffic_reduction_vs_beicsr
yelp_deepres8_w128_s7_balanced_fallback__node_permuted_within_rcm_tile,yelp_deepres8_w128_s7_balanced_fallback,node_permuted_within_rcm_tile,Yelp,4,5,X1_CAUSAL_AUTO,True,128,524288,O0,92971532,23119063,0,5601,5734776,298582272,51796333,3866255,47930078,3067524992,0,117373336,383841280,3592052632,True,True,,94002.0,"{""A2_CAUSAL_COHORT"": 5601}",5601.0,0.944039090954809,0.05596090904519102
yelp_deepres8_w128_s7_balanced_fallback__node_permuted_within_rcm_tile,yelp_deepres8_w128_s7_balanced_fallback,node_permuted_within_rcm_tile,Yelp,4,5,X2_CAUSAL_FORCE,True,128,524288,O0,92971532,23119063,0,5601,5734776,298582272,51796333,3866255,47930078,3067524992,0,117373336,383841280,3592052632,True,True,,94002.0,"{""A2_CAUSAL_COHORT"": 5601}",5601.0,0.944039090954809,0.05596090904519102
yelp_deepres8_w128_s7_balanced_fallback__node_permuted_within_rcm_tile,yelp_deepres8_w128_s7_balanced_fallback,node_permuted_within_rcm_tile,Yelp,4,5,O0_OFFLINE_MAJORITY,False,128,524288,O0,92971532,25802788,0,713,5734776,275330560,55767149,3926952,51840197,3317772608,0,117373336,367108352,3802315608,True,True,,241.0,"{""A2_CAUSAL_COHORT"": 14}",14.0,0.9992989908115583,0.0007010091884417369
yelp_deepres8_w128_s7_balanced_fallback__node_permuted_within_rcm_tile,yelp_deepres8_w128_s7_balanced_fallback,node_permuted_within_rcm_tile,Yelp,4,5,O1_FREE_SUPPORT,False,128,524288,O0,92971532,0,0,0,5734776,275269248,51796333,3866255,47930078,3067524992,0,117373336,337215232,3522113560,True,True,,0.0,{},716847.0,0.9256581748833367,0.07434182511666332
yelp_deepres8_w128_s7_balanced_fallback__temporally_shuffled,yelp_deepres8_w128_s7_balanced_fallback,temporally_shuffled,Yelp,4,5,DENSE,True,128,524288,O0,183512832,0,0,0,0,183512832,55819276,3932976,51886300,3320723200,0,117373336,367025664,3805122200,True,True,1.0,,,,0.9999938273059888,6.172694011152835e-06
yelp_deepres8_w128_s7_balanced_fallback__temporally_shuffled,yelp_deepres8_w128_s7_balanced_fallback,temporally_shuffled,Yelp,4,5,CSR32,True,128,524288,O0,93412037,373648148,5734784,0,0,923298944,211530754,33025005,178505749,11424367936,0,117373336,1036646912,12578388184,True,True,3.3056463164310466,,,,3.305625911687826,-2.305625911687826
yelp_deepres8_w128_s7_balanced_fallback__temporally_shuffled,yelp_deepres8_w128_s7_balanced_fallback,temporally_shuffled,Yelp,4,5,CSR_PACKED,True,128,524288,O0,93412037,82366724,5734784,0,0,372760448,118429342,35354749,83074593,5316773952,0,117373336,423995008,5858142296,True,True,1.5395411732112045,,,,1.5395316700946247,-0.5395316700946247
yelp_deepres8_w128_s7_balanced_fallback__temporally_shuffled,yelp_deepres8_w128_s7_balanced_fallback,temporally_shuffled,Yelp,4,5,BEICSR,True,128,524288,O0,93412037,22939104,0,0,5734776,275269248,55816367,3929516,51886851,3320758464,0,117373336,367013888,3805145688,True,True,1.0000061727321137,,,,1.0,0.0
yelp_deepres8_w128_s7_balanced_fallback__temporally_shuffled,yelp_deepres8_w128_s7_balanced_fallback,temporally_shuffled,Yelp,4,5,INDEPENDENT_BEST,True,128,524288,O0,93412037,22939104,5734784,358528,0,281362560,139496720,51658176,87838544,5621666816,0,117373336,378988928,6118029080,True,True,1.6078403684381017,,,,1.6078304437314885,-0.6078304437314885
yelp_deepres8_w128_s7_balanced_fallback__temporally_shuffled,yelp_deepres8_w128_s7_balanced_fallback,temporally_shuffled,Yelp,4,5,X0_CAUSAL_INDEPENDENT,True,128,524288,O0,93412037,17398360,0,5601,5734776,292842432,51287679,3594338,47693341,3052373824,0,117373336,373528064,3560848408,True,True,,70849.0,"{""A0_INDEPENDENT_ROWS"": 5601}",5601.0,0.93579817961493,0.06420182038507005
yelp_deepres8_w128_s7_balanced_fallback__temporally_shuffled,yelp_deepres8_w128_s7_balanced_fallback,temporally_shuffled,Yelp,4,5,X1_CAUSAL_AUTO,True,128,524288,O0,93412037,15867275,0,5601,5734776,291314368,51287679,3594338,47693341,3052373824,0,117373336,370471936,3556264216,True,True,,65104.0,"{""A2_CAUSAL_COHORT"": 5601}",5601.0,0.934593444664976,0.06540655533502404
yelp_deepres8_w128_s7_balanced_fallback__temporally_shuffled,yelp_deepres8_w128_s7_balanced_fallback,temporally_shuffled,Yelp,4,5,X2_CAUSAL_FORCE,True,128,524288,O0,93412037,15867275,0,5601,5734776,291314368,51287679,3594338,47693341,3052373824,0,117373336,370471936,3556264216,True,True,,65104.0,"{""A2_CAUSAL_COHORT"": 5601}",5601.0,0.934593444664976,0.06540655533502404
yelp_deepres8_w128_s7_balanced_fallback__temporally_shuffled,yelp_deepres8_w128_s7_balanced_fallback,temporally_shuffled,Yelp,4,5,O0_OFFLINE_MAJORITY,False,128,524288,O0,93412037,16004180,0,5601,5734776,291445952,51364139,3629535,47734604,3055014656,0,117373336,370742784,3559307480,True,True,,65738.0,"{""A2_CAUSAL_COHORT"": 5600}",5600.0,0.9353932206130027,0.06460677938699733
yelp_deepres8_w128_s7_balanced_fallback__temporally_shuffled,yelp_deepres8_w128_s7_balanced_fallback,temporally_shuffled,Yelp,4,5,O1_FREE_SUPPORT,False,128,524288,O0,93412037,0,0,0,5734776,275269248,51287679,3594338,47693341,3052373824,0,117373336,338381696,3508128856,True,True,,0.0,{},716847.0,0.9219433744845357,0.07805662551546433
