config_id,feature_cache_bytes,dram_bytes_per_cycle,aggregate_decode_width_bits,physical_slice_width,fixed_gap8_xorflow_cycles,best_beicsr_cycles,raw_xorflow_speedup,selected_speedup,selected_representation,xorflow_dram_bytes,xorflow_decode_cycles
cora_deepres28_w128,1048576,128,4096,128,18841,22872,1.2139483042301364,1.2139483042301364,XORFLOW,2190106,536
cora_deepres28_w128,1048576,256,1024,128,11880,12034,1.012962962962963,1.012962962962963,XORFLOW,2190106,2131
cora_deepres28_w128,1048576,256,2048,128,10816,12034,1.112610946745562,1.112610946745562,XORFLOW,2190106,1067
cora_deepres28_w128,1048576,256,4096,128,10285,12034,1.170053475935829,1.170053475935829,XORFLOW,2190106,536
cora_deepres28_w128,1048576,512,1024,128,7603,6613,0.8697882414836249,1.0,BEICSR,2190106,2131
cora_deepres28_w128,1048576,512,2048,128,6539,6613,1.0113167150940512,1.0113167150940512,XORFLOW,2190106,1067
cora_deepres28_w128,1048576,512,4096,128,6008,6613,1.1006990679094542,1.1006990679094542,XORFLOW,2190106,536
chameleon_gcnii16,262144,128,1024,128,10955,10435,0.9525330899132816,1.0,BEICSR,1275120,420
chameleon_gcnii16,262144,128,2048,128,10746,10435,0.9710589986971897,1.0,BEICSR,1275120,211
chameleon_gcnii16,262144,128,4096,128,10642,10435,0.9805487690283782,1.0,BEICSR,1275120,107
chameleon_gcnii16,262144,256,1024,128,5974,5504,0.921325744894543,1.0,BEICSR,1275120,420
chameleon_gcnii16,262144,256,2048,128,5765,5504,0.9547267996530789,1.0,BEICSR,1275120,211
chameleon_gcnii16,262144,256,4096,128,5661,5504,0.9722663840310899,1.0,BEICSR,1275120,107
chameleon_gcnii16,262144,512,1024,128,3484,3038,0.8719862227324914,1.0,BEICSR,1275120,420
chameleon_gcnii16,262144,512,2048,128,3275,3038,0.9276335877862596,1.0,BEICSR,1275120,211
chameleon_gcnii16,262144,512,4096,128,3171,3038,0.9580573951434879,1.0,BEICSR,1275120,107
chameleon_gcnii16,524288,128,1024,64,10955,10435,0.9525330899132816,1.0,BEICSR,1275120,420
chameleon_gcnii16,524288,128,2048,64,10746,10435,0.9710589986971897,1.0,BEICSR,1275120,211
chameleon_gcnii16,524288,128,4096,64,10642,10435,0.9805487690283782,1.0,BEICSR,1275120,107
chameleon_gcnii16,524288,256,1024,64,5974,5504,0.921325744894543,1.0,BEICSR,1275120,420
chameleon_gcnii16,524288,256,2048,64,5765,5504,0.9547267996530789,1.0,BEICSR,1275120,211
chameleon_gcnii16,524288,256,4096,64,5661,5504,0.9722663840310899,1.0,BEICSR,1275120,107
chameleon_gcnii16,524288,512,1024,64,3484,3038,0.8719862227324914,1.0,BEICSR,1275120,420
chameleon_gcnii16,524288,512,2048,64,3275,3038,0.9276335877862596,1.0,BEICSR,1275120,211
chameleon_gcnii16,524288,512,4096,64,3171,3038,0.9580573951434879,1.0,BEICSR,1275120,107
chameleon_gcnii16,1048576,128,1024,64,10955,10435,0.9525330899132816,1.0,BEICSR,1275120,420
chameleon_gcnii16,1048576,128,2048,64,10746,10435,0.9710589986971897,1.0,BEICSR,1275120,211
chameleon_gcnii16,1048576,128,4096,64,10642,10435,0.9805487690283782,1.0,BEICSR,1275120,107
chameleon_gcnii16,1048576,256,1024,64,5974,5504,0.921325744894543,1.0,BEICSR,1275120,420
chameleon_gcnii16,1048576,256,2048,64,5765,5504,0.9547267996530789,1.0,BEICSR,1275120,211
chameleon_gcnii16,1048576,256,4096,64,5661,5504,0.9722663840310899,1.0,BEICSR,1275120,107
chameleon_gcnii16,1048576,512,1024,64,3484,3038,0.8719862227324914,1.0,BEICSR,1275120,420
chameleon_gcnii16,1048576,512,2048,64,3275,3038,0.9276335877862596,1.0,BEICSR,1275120,211
chameleon_gcnii16,1048576,512,4096,64,3171,3038,0.9580573951434879,1.0,BEICSR,1275120,107
