config_id,parameter,value,tile_size,cohort_size,window_length,mask_decode_width_bits,rho_delta,proxy_speedup,byte_ratio,metadata_reduction
pubmed_gcnii16,cartesian,W4_C64_T64,64,64,4,64,1.25,1.3023770054909831,0.8576227588589856,
pubmed_gcnii16,cartesian,W4_C16_T128,128,16,4,64,1.25,1.3993427936658922,0.8621299957768649,
pubmed_gcnii16,cohort_size,16,128,16,4,64,1.25,1.3993427936658922,0.8621299957768649,
pubmed_gcnii16,cartesian,W4_C32_T128,128,32,4,64,1.25,1.3805640193841477,0.8497024609360003,
pubmed_gcnii16,window_length,4,128,32,4,64,1.25,1.3805640193841477,0.8497024609360003,
pubmed_gcnii16,cohort_size,32,128,32,4,64,1.25,1.3805640193841477,0.8497024609360003,
pubmed_gcnii16,tile_size,128,128,32,4,64,1.25,1.3805640193841477,0.8497024609360003,
pubmed_gcnii16,cartesian,W4_C64_T128,128,64,4,64,1.25,1.3464079793114438,0.8491419357315622,
pubmed_gcnii16,cohort_size,64,128,64,4,64,1.25,1.3464079793114438,0.8491419357315622,
pubmed_gcnii16,cartesian,W4_C16_T256,256,16,4,64,1.25,1.4102425860419086,0.8596421852804546,
pubmed_gcnii16,cartesian,W4_C32_T256,256,32,4,64,1.25,1.395084158033271,0.8447153223019925,
pubmed_gcnii16,tile_size,256,256,32,4,64,1.25,1.395084158033271,0.8447153223019925,
pubmed_gcnii16,cartesian,W4_C64_T256,256,64,4,64,1.25,1.3725061367672484,0.843287134794794,
pubmed_gcnii16,cartesian,W8_C16_T64,64,16,8,64,1.25,1.4153800096678473,0.8540158282400878,
pubmed_gcnii16,cartesian,W8_C32_T64,64,32,8,64,1.25,1.3882493839704415,0.8448440683278483,
pubmed_gcnii16,cartesian,W8_C64_T64,64,64,8,64,1.25,1.3320261017942143,0.8490126939351199,
pubmed_gcnii16,cartesian,W8_C16_T128,128,16,8,64,1.25,1.4288641958153045,0.8509637987776211,
pubmed_gcnii16,cartesian,W8_C32_T128,128,32,8,64,1.25,1.41152285030174,0.8404834665412945,
pubmed_gcnii16,window_length,8,128,32,8,64,1.25,1.41152285030174,0.8404834665412945,
pubmed_gcnii16,cartesian,W8_C64_T128,128,64,8,64,1.25,1.377389675108005,0.8394902836545995,
pubmed_gcnii16,cartesian,W8_C16_T256,256,16,8,64,1.25,1.439672758072272,0.8482898448519041,
pubmed_gcnii16,cartesian,W8_C32_T256,256,32,8,64,1.25,1.4252398839384466,0.8360543018335684,
pubmed_gcnii16,cartesian,W8_C64_T256,256,64,8,64,1.25,1.4029491157499052,0.8352609308885754,
cora_gcnii16,rho_delta,1.1,128,32,4,64,1.1,1.2205430826559547,,
cora_gcnii16,rho_delta,1.25,128,32,4,64,1.25,1.1860804759284782,,
cora_gcnii16,rho_delta,1.5,128,32,4,64,1.5,1.1546508250215057,,
cora_gcnii16,rho_delta,1.75,128,32,4,64,1.75,1.1360484819072667,,
cora_gcnii16,ablation,A0,128,32,4,64,1.25,1.0,,
cora_gcnii16,ablation,A1,128,32,4,64,1.25,0.6419914061342421,,
cora_gcnii16,ablation,A2,128,32,4,64,1.25,1.1207594511051617,,
cora_gcnii16,ablation,A3,128,32,4,64,1.25,1.0108897897284843,,
cora_gcnii16,ablation,A4,128,32,4,64,1.25,1.2017596967725748,,
cora_gcnii16,ablation,A5,128,32,4,64,1.25,1.1860804759284782,,
cora_gcnii16,mask_decode_width_bits,32,128,32,4,32,1.25,1.179951952388089,,
cora_gcnii16,mask_decode_width_bits,64,128,32,4,64,1.25,1.1860804759284782,,
cora_gcnii16,mask_decode_width_bits,128,128,32,4,128,1.25,1.1889639582231384,,
pubmed_gcnii16,rho_delta,1.1,128,32,4,64,1.1,1.4180507813162706,,
pubmed_gcnii16,rho_delta,1.25,128,32,4,64,1.25,1.3805640193841477,,
pubmed_gcnii16,rho_delta,1.5,128,32,4,64,1.5,1.339425830355559,,
pubmed_gcnii16,rho_delta,1.75,128,32,4,64,1.75,1.3125165808010912,,
pubmed_gcnii16,ablation,A0,128,32,4,64,1.25,1.0,,
pubmed_gcnii16,ablation,A1,128,32,4,64,1.25,0.7462800963271717,,
pubmed_gcnii16,ablation,A2,128,32,4,64,1.25,1.2986087599037996,,
pubmed_gcnii16,ablation,A3,128,32,4,64,1.25,1.1721494130837233,,
pubmed_gcnii16,ablation,A4,128,32,4,64,1.25,1.401852842933832,,
pubmed_gcnii16,ablation,A5,128,32,4,64,1.25,1.3805640193841477,,
pubmed_gcnii16,mask_decode_width_bits,32,128,32,4,32,1.25,1.372504643947722,,
pubmed_gcnii16,mask_decode_width_bits,64,128,32,4,64,1.25,1.3805640193841477,,
pubmed_gcnii16,mask_decode_width_bits,128,128,32,4,128,1.25,1.3847713752377608,,
