config_id,trace_state,window_start,window_end,W,tile_size,cohort_size,grouping_method,num_cohorts,regular_feature_planes,delta_feature_planes,absent_feature_planes,regular_slots,regular_true_nnz,regular_holes,delta_active_nnz,initial_mask_bits,transition_dense_bits,transition_sparse_bytes,flip_count,total_nnz,dense_bytes,independent_bitmap_bytes,phase0_mosaic_bytes,mosaic_delta_bytes,selected_bytes,selected_representation,byte_ratio_to_best_baseline,proxy_cycles_rho1_10,proxy_cycles_rho1_25,proxy_cycles_rho1_50,proxy_cycles_rho1_75,proxy_speedup_rho1_10,proxy_speedup_rho1_25,proxy_speedup_rho1_50,proxy_speedup_rho1_75,rho_delta_max_for_1x,rho_delta_max_for_1_15x,rho_delta_max_for_1_25x,grouping_objective,cluster_iterations,exact_decode_pass
cora_gcnii16,trained,4,7,4,128,32,window_global_oracle,85,3355,1972,113,427760,413006,14754,105749,62904,56272,7074,13436,518755,2772992,2488256,2418944,2193088,2193088,mosaic_delta,0.881375549782659,554949.628,570811.978,597249.228,613429.248,1.249208874143078,1.2144944863087648,1.1607348615944968,1.130118921228875,2.414353989163018,1.5592759064018291,1.1032342622625275,570118.73,0,True
cora_gcnii16,trained,8,11,4,128,32,random_balanced_window,85,3332,2096,12,424816,395204,29612,144716,66936,41024,8388,9962,539920,2772992,2565440,2633152,2335168,2335168,mosaic_delta,0.9102407384308345,594889.328,616596.728,652775.728,673997.248,1.1653394461297177,1.1243134588933466,1.0620002709414464,1.028562063208899,1.7844572818485862,1.1596220723768418,0.8263766273252441,615903.48,0,True
cora_gcnii16,trained,8,11,4,128,32,rcm_contiguous_window,85,3423,2002,15,436464,415106,21358,124814,63928,43232,7733,10458,539920,2772992,2565440,2567168,2301312,2301312,mosaic_delta,0.8970437819633279,584527.128,603249.228,634452.728,655749.248,1.185997991867368,1.1491900326145132,1.092670847496143,1.0571845901682224,1.9766173666415625,1.252150142020022,0.8657676222218663,602555.98,0,True
cora_gcnii16,trained,8,11,4,128,32,first_layer_rcm_cost_reused,85,3678,1657,105,469104,454825,14279,85095,52888,44992,6065,11137,539920,2772992,2565440,2467648,2270528,2270528,mosaic_delta,0.885044280903081,573036.228,585800.478,607074.228,618907.248,1.2097804050183019,1.1834199971410744,1.141949316945802,1.1201161438005973,2.5208240202127032,1.4582039817390804,0.8914732945531468,585107.23,0,True
cora_gcnii16,trained,8,11,4,128,32,window_cost_cluster,85,3650,1701,89,465520,453061,12459,86859,54296,45664,6236,11239,539920,2772992,2565440,2465728,2263936,2263936,mosaic_delta,0.8824747411750031,571457.628,584486.478,606201.228,619245.248,1.2131223139434582,1.1860804759284782,1.143593856263188,1.1195047555697997,2.5101431054928103,1.4691035796645948,0.9138824992228788,583793.23,5,True
cora_gcnii16,trained,8,11,4,128,32,window_global_oracle,85,3550,1796,94,453728,435165,18563,104755,57072,41672,6172,10190,539920,2772992,2565440,2518464,2289472,2289472,mosaic_delta,0.8924285892478483,579348.228,595061.478,621250.228,634865.248,1.1965998453006401,1.1650023159455802,1.11589174338299,1.0919608565501446,2.1939145625507135,1.330722808706859,0.8703538733234694,594368.23,0,True
cora_gcnii16,trained,12,15,4,128,32,random_balanced_window,85,3675,1754,11,468720,439652,29068,125828,55984,29344,6930,7090,565480,2772992,2662272,2703808,2431232,2431232,mosaic_delta,0.9132169815856531,617394.528,636268.728,667725.728,683375.248,1.1228606159593302,1.0895522119704113,1.0382226877440313,1.0144470435955855,1.7083440887560797,0.9897150699851149,0.6064462599739329,635575.48,0,True
cora_gcnii16,trained,12,15,4,128,32,rcm_contiguous_window,85,3708,1719,13,472944,452727,20217,112753,54864,33792,6481,7874,565480,2772992,2662272,2648192,2395968,2395968,mosaic_delta,0.8999711524592529,607224.028,624136.978,652325.228,669703.248,1.1416676021259158,1.1107305358215773,1.0627336951622544,1.0351569923997144,1.8690901350740112,1.0671278620177471,0.639414649721072,623443.73,0,True
cora_gcnii16,trained,12,15,4,128,32,first_layer_rcm_cost_reused,85,3963,1367,110,505584,491745,13839,73735,43600,35296,5052,8423,565480,2772992,2662272,2555328,2369152,2369152,mosaic_delta,0.8898985528150392,596524.228,607584.478,626018.228,635731.248,1.1621455884940184,1.1409903068656075,1.107392674834382,1.0904733756299485,2.421177459822337,1.1948446168859705,0.5408004339865738,606891.23,0,True
cora_gcnii16,trained,12,15,4,128,32,window_cost_cluster,85,3932,1406,102,501616,489641,11975,75839,44848,35232,5177,8450,565480,2772992,2662272,2552576,2361792,2361792,mosaic_delta,0.8871339968267705,594914.628,606290.478,625250.228,636271.248,1.165289887610563,1.1434255116241492,1.1087528943691964,1.0895478967171561,2.4057479660860506,1.2134372529448838,0.5775382059362599,605597.23,3,True
cora_gcnii16,trained,12,15,4,128,32,window_global_oracle,85,3961,1322,157,505472,493203,12269,72277,42064,32536,4674,8053,565480,2772992,2662272,2545408,2361920,2361920,mosaic_delta,0.8871820760613491,594683.428,605524.978,623594.228,631541.248,1.1657429270082167,1.144871021323913,1.1116972686283426,1.0977081896003094,2.4732974528549883,1.2222265426911332,0.5549887239370757,604831.73,0,True
cora_gcnii16,random_init,4,7,4,128,32,window_cost_cluster,85,4559,860,21,580960,576624,4336,62261,27448,50200,1261,38570,638885,2772992,2774720,2701632,2621376,2701632,phase0_mosaic,0.9742660635155096,649815.248,649815.248,649815.248,649815.248,1.0668386162585093,1.0668386162585093,1.0668386162585093,1.0668386162585093,1.666685726217054,0.21435357328162144,-0.5602235749506108,667304.73,4,True
cora_gcnii16,random_init,8,11,4,128,32,window_cost_cluster,85,4918,522,0,626768,620644,6124,41286,16648,34888,586,22661,661930,2772992,2921792,2795328,2721984,2795328,phase0_mosaic,1.008054837518464,673679.248,673679.248,673679.248,673679.248,1.0290475802217378,1.0290475802217378,1.0290475802217378,1.0290475802217378,1.4178782153756722,-0.7722988948775121,-1.9403933536792126,686316.98,6,True
cora_gcnii16,random_init,12,15,4,128,32,window_cost_cluster,85,5062,378,0,645104,643858,1246,26338,12056,26856,389,19312,670196,2772992,3008512,2819264,2734272,2819264,phase0_mosaic,1.0166866691285081,676885.248,676885.248,676885.248,676885.248,1.0241735981812976,1.0241735981812976,1.0241735981812976,1.0241735981812976,1.5361652365403597,-1.8970359242885932,-3.7280765433973717,685710.98,5,True
cora_resgcn16,trained,4,7,4,128,32,random_balanced_window,85,960,4001,479,122352,112851,9501,151097,127664,234832,7401,94838,263948,2772992,1445440,1368320,1183744,1183744,mosaic_delta,0.8189506309497454,303774.428,326438.978,354795.248,354795.248,1.7377894626469348,1.6171353164817224,1.4878891500824158,1.4878891500824158,2.587884074468719,2.132176813570091,1.8891329410908224,325745.73,0,True
cora_resgcn16,trained,4,7,4,128,32,rcm_contiguous_window,85,968,3898,574,123376,115058,8318,148890,124368,221360,7249,95686,263948,2772992,1445440,1347712,1176192,1176192,mosaic_delta,0.8137259242860305,302063.728,324397.228,346059.248,346059.248,1.7476312150924656,1.6273135354905066,1.5254497692256441,1.5254497692256441,2.6214287057559273,2.158966485324737,1.9123199677614346,323703.98,0,True
cora_resgcn16,trained,4,7,4,128,32,first_layer_rcm_cost_reused,85,1035,3454,951,131952,126857,5095,137091,110160,182928,6375,97586,263948,2772992,1445440,1276928,1156224,1276928,phase0_mosaic,0.8834181979189728,296617.828,315403.248,315403.248,315403.248,1.7797177046283275,1.673717703756811,1.673717703756811,1.673717703756811,2.7920980954256662,2.289833176503199,2.0219585530778827,316488.23,0,True
cora_resgcn16,trained,4,7,4,128,32,window_cost_cluster,85,1050,3480,910,133872,128694,5178,135254,110992,187024,6216,97581,263948,2772992,1445440,1281024,1156544,1281024,phase0_mosaic,0.8862519371264114,296581.128,316733.248,316733.248,316733.248,1.779937933205244,1.6666895671148485,1.6666895671148485,1.6666895671148485,2.815351265027282,2.3062646576071693,2.0347518003164415,316175.98,3,True
cora_resgcn16,trained,4,7,4,128,32,window_global_oracle,85,1068,3231,1141,136080,131486,4594,132462,103040,166488,5724,98036,263948,2772992,1445440,1248832,1149952,1248832,phase0_mosaic,0.8639805180429488,295148.928,303489.248,303489.248,303489.248,1.7885750206756637,1.739422412750517,1.739422412750517,1.739422412750517,2.8623191556823846,2.3425021515604483,2.0652664160287477,314324.98,0,True
cora_resgcn16,trained,8,11,4,128,32,random_balanced_window,85,707,4297,436,89968,82094,7874,155835,137216,267600,7049,113388,237929,2772992,1390336,1272576,1078976,1078976,mosaic_delta,0.7760541336770392,277293.228,300668.478,335827.248,335827.248,1.7160822982665844,1.5826667403424977,1.4169725739467096,1.4169725739467096,2.3786474155356627,1.9803515591323604,1.767927102383932,299975.23,0,True
cora_resgcn16,trained,8,11,4,128,32,rcm_contiguous_window,85,726,4181,533,92400,85694,6706,152235,133504,246480,7358,113775,237929,2772992,1390336,1247872,1072000,1072000,mosaic_delta,0.7710366415024857,275387.228,298222.478,324393.248,324393.248,1.7279595842404136,1.5956476627492848,1.4669170919365127,1.4669170919365127,2.4214045390350445,2.0136899216171797,1.7962421256609848,297529.23,0,True
cora_resgcn16,trained,8,11,4,128,32,first_layer_rcm_cost_reused,85,828,3628,984,105456,100568,4888,137361,115808,202992,6249,114582,237929,2772992,1390336,1173504,1054848,1173504,phase0_mosaic,0.844043454244154,270848.828,291411.248,291411.248,291411.248,1.7569136389248103,1.6329431456949115,1.6329431456949115,1.6329431456949115,2.597531468175101,2.1456678767437,1.904673961313619,290759.73,0,True
cora_resgcn16,trained,8,11,4,128,32,window_cost_cluster,85,835,3658,947,106352,102021,4331,135908,116768,203280,6440,114986,237929,2772992,1390336,1171264,1052672,1171264,phase0_mosaic,0.842432332903701,270197.52800000005,290295.248,290295.248,290295.248,1.761148606807387,1.6392207701588004,1.6392207701588004,1.6392207701588004,2.61833387291403,2.161639382651436,1.9180689878447186,289890.48,5,True
cora_resgcn16,trained,8,11,4,128,32,window_global_oracle,85,857,3318,1265,109120,105529,3591,132400,105848,175272,5689,115719,237929,2772992,1390336,1135424,1044224,1135424,phase0_mosaic,0.8166543914564537,268319.728,274219.248,274219.248,274219.248,1.7734737715595776,1.73531946962381,1.73531946962381,1.73531946962381,2.6727456193353474,2.2039507946932884,1.9539268882175227,287486.48,0,True
cora_resgcn16,trained,12,15,4,128,32,random_balanced_window,85,428,4588,424,54304,48835,5469,160786,146536,247728,8933,108376,209621,2772992,1385600,1144704,956864,956864,mosaic_delta,0.6905773672055427,247218.328,271336.228,304899.248,304899.248,1.6958370497514246,1.5451014525048974,1.37501815025795,1.37501815025795,2.174203724204844,1.834101108738107,1.6527130471558469,270642.98,0,True
