config_id,model_valid,segment_start,segment_end,W,method,panel_builder,panel_width,number_of_panels,topology_tile_rows,rho_residual,escape_enabled,total_nnz,dense_panel_slots,dense_panel_true_nnz,dense_panel_holes,residual_nnz,panel_feature_metadata_bits,row_list_metadata_bits,residual_metadata_bits,descriptor_bits,dense_value_bytes,residual_value_bytes,total_transfer_bytes,byte_ratio_to_dense,byte_ratio_to_R0,byte_ratio_to_phase0,byte_ratio_to_phase2_anchor,regular_scalesim_cycles,residual_cycles,gather_cycles,decoder_cycles,output_init_cycles,output_add_cycles,weight_pack_cycles,total_hybrid_cycles,hybrid_speedup_vs_dense,independently_decodable,deployable,exact_decode_pass,numeric_equivalence_pass
cora_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P4_FIXED_BSR,32,2,128,1.5,True,1769413,1737216,1423442,313774,345971,1024,5075,959570,2076,6948864,1396480,8466432,0.9394387001477105,0.8230960676953708,0.7478302165652336,0.5843200850492569,558649.0,518956.5,54288.0,15499.0,70408,70408,128,1258955.5,0.541558458579354,True,True,True,True
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P0_CONTIGUOUS,4,16,128,1.5,True,11060089,0,0,0,11060089,1024,24720,16459054,112144,0,45192704,47267456,0.7203409006675223,0.6907493123408283,0.6283912683505334,0.46437398407899677,0.0,16590133.5,0.0,290732.0,512642,7527146,128,16915585.5,0.29032994453546995,True,True,True,True
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P1_DENSITY_SORTED,4,16,128,1.5,True,11060089,0,0,0,11060089,1024,24720,16112756,112144,0,45153728,47185216,0.7190875893898666,0.6895474870628419,0.6272979389801279,0.4635660261374766,0.0,16590133.5,0.0,284231.0,512642,6236260,128,16909084.5,0.2904415670759703,True,True,True,True
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P2_CORRELATION,4,16,128,1.5,True,11060089,0,0,0,11060089,1024,24720,16061261,112144,0,45104768,47129792,0.718242945369283,0.6887375410000122,0.6265611115600725,0.46302151907338596,0.0,16590133.5,0.0,283336.0,512642,5779972,128,16908189.5,0.29045694099891656,True,True,True,True
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_NO_ESCAPE,P3_COST_AWARE,4,16,128,1.5,False,11060089,0,0,0,11060089,1024,24720,16050146,79904,0,45098752,47118336,0.7180683595959754,0.688570127206425,0.626408811204195,0.46290897084651267,0.0,16590133.5,0.0,283123.0,512642,5706796,128,16907976.5,0.29046060006056906,True,True,True,True
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P3_COST_AWARE,4,16,128,1.5,True,11060089,0,0,0,11060089,1024,24720,16050146,112144,0,45098752,47122368,0.7181298059854635,0.6886290493795869,0.6264624141227441,0.46294858279228374,0.0,16590133.5,0.0,283123.0,512642,5706796,128,16907976.5,0.29046060006056906,True,True,True,True
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P4_FIXED_BSR,4,16,128,1.5,True,11060089,0,0,0,11060089,1024,24720,16459054,112144,0,45192704,47267456,0.7203409006675223,0.6907493123408283,0.6283912683505334,0.46437398407899677,0.0,16590133.5,0.0,290732.0,512642,7527146,128,16905665.5,0.29050030594773096,True,True,True,True
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P0_CONTIGUOUS,8,8,128,1.5,True,11060089,1910168,1655118,255050,9404971,1024,30120,14613113,56088,7656896,38081856,47576384,0.7250488645097358,0.6952638731321438,0.6324982729193638,0.46740901363831044,1818960.0,14107456.5,59878.0,244722.0,512642,3572736,128,16737078.5,0.2934264184756019,True,True,True,True
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P1_DENSITY_SORTED,8,8,128,1.5,True,11060089,6557240,6011315,545925,5048774,1024,75360,9785061,56088,26223360,20602368,48065536,0.7325033844281195,0.7024121615365406,0.6390012428633396,0.47221463429748467,6334514.0,7573161.0,205708.0,167706.0,512642,2992044,128,15951953.0,0.3078683218286814,True,True,True,True
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P2_CORRELATION,8,8,128,1.5,True,11060089,7174320,6812955,361365,4247134,1024,83160,9041227,56088,28635904,17412992,47196672,0.7192621751631743,0.6897149008564291,0.6274502393360054,0.46367857436434984,7010785.0,6370701.0,225314.0,155743.0,512642,2866024,128,15591637.0,0.31498302583622234,True,True,True,True
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_NO_ESCAPE,P3_COST_AWARE,8,8,128,1.5,False,11060089,7023848,6732731,291117,4327358,1024,81960,9230417,39968,28157376,17742528,47069248,0.7173202741874446,0.6878527731299926,0.6257562169418597,0.4624267111257765,6897384.0,6491037.0,220597.0,158586.0,512642,2843942,128,15552086.0,0.31578406909529694,True,True,True,True
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P3_COST_AWARE,8,8,128,1.5,True,11060089,7077704,6786454,291250,4273635,1024,82920,9173156,56088,28248192,17528128,46940544,0.7153588664214013,0.6859719399517586,0.6240451777481745,0.4611622726663235,6950803.0,6410452.5,222285.0,157682.0,512642,2842934,128,15546162.5,0.31590439119621966,True,True,True,True
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P4_FIXED_BSR,8,8,128,1.5,True,11060089,0,0,0,11060089,1024,12360,16436784,56088,0,44722944,46786368,0.7130092735281152,0.6837188682827553,0.6219955042436556,0.4596475873113646,0.0,16590133.5,0.0,273616.0,512642,3572736,128,16886069.5,0.29083742667291523,True,True,True,True
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P0_CONTIGUOUS,16,4,128,1.5,True,11060089,16167008,11003085,5163923,57004,1024,80100,459114,28060,64668032,282944,65022080,0.9909156877509061,0.9502088931329481,0.8644278914014295,0.6388023578570265,7637344.0,85506.0,505388.0,14755.0,512642,1537926,128,10289905.0,0.4772736968903017,True,True,True,True
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P1_DENSITY_SORTED,16,4,128,1.5,True,11060089,14072288,10826771,3245517,233318,1024,76140,1237362,28060,56093184,1017024,57278080,0.8728996063529715,0.8370409097583537,0.7614762541881526,0.5627222715348908,6898144.0,349977.0,440016.0,26606.0,512642,1354494,128,9507872.0,0.5165299869413471,True,True,True,True
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P2_CORRELATION,16,4,128,1.5,True,11060089,12950944,10374574,2576370,685515,1024,72780,3111069,28060,51721792,2890368,55013888,0.838394044967053,0.8039528360738379,0.7313752374829351,0.5404779633208039,6468291.0,1028272.5,405009.0,55386.0,512642,1444238,128,9605843.5,0.5112618168305574,True,True,True,True
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_NO_ESCAPE,P3_COST_AWARE,16,4,128,1.5,False,11060089,12770992,10375077,2395915,685012,1024,72420,3120165,20000,51083968,2897088,54382912,0.8287781726819106,0.7947319836102832,0.7229868061499954,0.5342790081881598,6414772.0,1027518.0,399399.0,55475.0,512642,1418484,128,9519510.0,0.5158985073811573,True,True,True,True
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P3_COST_AWARE,16,4,128,1.5,True,11060089,12745152,10366638,2378514,693451,1024,72420,3148664,28060,50885248,2930240,54221824,0.8263232431209304,0.7923779025015736,0.7208452419279638,0.5326964166404506,6398434.0,1040176.5,398591.0,55926.0,512642,1418464,128,9516797.5,0.5160455499867471,True,True,True,True
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P4_FIXED_BSR,16,4,128,1.5,True,11060089,0,0,0,11060089,1024,6180,16420664,28060,0,44482304,46539392,0.7092454383370851,0.6801096513584367,0.6187121127725314,0.4572211984426281,0.0,16590133.5,0.0,264988.0,512642,1537926,128,16876201.5,0.291007487674285,True,True,True,True
