config_id,segment_start,W,panel_builder,panel_width,mean_within_panel_jaccard,median_within_panel_jaccard,mean_cross_panel_jaccard,panel_similarity_separation,mean_selected_rows_per_panel,mean_row_panel_occupancy,p10_row_panel_occupancy,p50_row_panel_occupancy,p90_row_panel_occupancy,dense_nnz_capture,padding_fraction,residual_fraction,cost_before_swaps,cost_after_swaps,accepted_swaps
cora_deepres28_w128,4,13,P2_CORRELATION,16,0.4615264927590539,0.4827993516594743,0.26292942836707006,0.19859706439198382,21.948863636363637,0.18484678825807377,0.0,0.0,0.8850195400359875,0.33461306230670596,0.11856070411597204,0.665386937693294,3118535.0,3118535.0,0
cora_deepres28_w128,4,13,P3_COST_AWARE,16,0.4615264927590539,0.4827993516594743,0.26292942836707006,0.19859706439198382,21.948863636363637,0.18484678825807377,0.0,0.0,0.8850195400359875,0.33461306230670596,0.11856070411597204,0.665386937693294,3118535.0,3118535.0,0
cora_deepres28_w128,4,13,P3_COST_AWARE,16,0.4615264927590539,0.4827993516594743,0.26292942836707006,0.19859706439198382,21.948863636363637,0.18484678825807377,0.0,0.0,0.8850195400359875,0.33461306230670596,0.11856070411597204,0.665386937693294,3118535.0,3118535.0,0
cora_deepres28_w128,4,13,P4_FIXED_BSR,16,0.283838566231771,0.2629997821629436,0.286726918526974,-0.0028883522952030116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3259375.0,3259375.0,0
cora_deepres28_w128,4,13,P0_CONTIGUOUS,32,0.2831995693940366,0.2664051466899929,0.2874146533050263,-0.004215083910989681,116.36363636363636,0.43220914827360135,0.41070650540865383,0.4621769831730769,0.5285268930288461,0.9568467074932652,0.5245699368990384,0.04315329250673488,2820343.0,2820343.0,0
cora_deepres28_w128,4,13,P1_DENSITY_SORTED,32,0.3505136528011416,0.33699235347433765,0.2656778138714819,0.08483583892965968,69.7840909090909,0.34162491388333,0.0,0.42303300438181407,0.7674147385817308,0.7560618616513134,0.3735845452381847,0.2439381383486866,2415357.0,2415357.0,0
cora_deepres28_w128,4,13,P2_CORRELATION,32,0.40220920695512785,0.41871527111966456,0.24898445784259052,0.15322474911253733,71.45454545454545,0.40049393912713477,0.0,0.536852764423077,0.7704683743990385,0.8013152262550116,0.3516118155460951,0.1986847737449884,2378059.5,2378059.5,0
cora_deepres28_w128,4,13,P3_COST_AWARE,32,0.4049709669910405,0.42383594729847984,0.24809263949766044,0.15687832749338007,70.5,0.4038549083295396,0.0,0.5533346441864586,0.7669144381009616,0.7984918222389367,0.34514836891831574,0.2015081777610633,2378059.5,2373539.5,1
cora_deepres28_w128,4,13,P3_COST_AWARE,32,0.4049709669910405,0.42383594729847984,0.24809263949766044,0.15687832749338007,70.5,0.4038549083295396,0.0,0.5533346441864586,0.7669144381009616,0.7984918222389367,0.34514836891831574,0.2015081777610633,2378059.5,2373539.5,1
cora_deepres28_w128,4,13,P4_FIXED_BSR,32,0.2831995693940366,0.2664051466899929,0.2874146533050263,-0.004215083910989681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3258059.0,3258059.0,0
cora_deepres28_w128,17,12,P0_CONTIGUOUS,4,0.24417096487720788,0.20801301720744508,0.23688786163959027,0.007283103237617605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2644219.0,2644219.0,0
cora_deepres28_w128,17,12,P1_DENSITY_SORTED,4,0.39486666485237104,0.3932279918113283,0.23324199793051378,0.16162466692185726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2635010.0,2635010.0,0
cora_deepres28_w128,17,12,P2_CORRELATION,4,0.608354416817679,0.6955763671687502,0.22807697167328858,0.38027744514439044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2633514.0,2633514.0,0
cora_deepres28_w128,17,12,P3_COST_AWARE,4,0.608354416817679,0.6955763671687502,0.22807697167328858,0.38027744514439044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2633514.0,2633514.0,0
cora_deepres28_w128,17,12,P3_COST_AWARE,4,0.608354416817679,0.6955763671687502,0.22807697167328858,0.38027744514439044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2633514.0,2633514.0,0
cora_deepres28_w128,17,12,P4_FIXED_BSR,4,0.24417096487720788,0.20801301720744508,0.23688786163959027,0.007283103237617605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2641403.0,2641403.0,0
cora_deepres28_w128,17,12,P0_CONTIGUOUS,8,0.23187541982643303,0.198409572983049,0.23736233165963155,-0.005486911833198521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2639062.0,2639062.0,0
cora_deepres28_w128,17,12,P1_DENSITY_SORTED,8,0.40078072120613323,0.39072915296382194,0.2275095224124824,0.17327119879365083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2629520.0,2629520.0,0
cora_deepres28_w128,17,12,P2_CORRELATION,8,0.5685676260766908,0.6296649967143831,0.21772195296169988,0.3508456731149909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2628658.0,2628658.0,0
cora_deepres28_w128,17,12,P3_COST_AWARE,8,0.5685676260766908,0.6296649967143831,0.21772195296169988,0.3508456731149909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2628658.0,2628658.0,0
cora_deepres28_w128,17,12,P3_COST_AWARE,8,0.5685676260766908,0.6296649967143831,0.21772195296169988,0.3508456731149909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2628658.0,2628658.0,0
cora_deepres28_w128,17,12,P4_FIXED_BSR,8,0.23187541982643303,0.198409572983049,0.23736233165963155,-0.005486911833198521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2637302.0,2637302.0,0
cora_deepres28_w128,17,12,P0_CONTIGUOUS,16,0.22839921757711615,0.18834207738906877,0.23821981673467926,-0.009820599157563115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2636075.0,2636075.0,0
cora_deepres28_w128,17,12,P1_DENSITY_SORTED,16,0.35656319419123295,0.3345350651068786,0.22105499843814577,0.13550819575308717,16.886363636363637,0.11745390261381485,0.0,0.0,0.7882387329931972,0.26603074221702655,0.20558896926873038,0.7339692577829735,2584040.0,2584040.0,0
cora_deepres28_w128,17,12,P2_CORRELATION,16,0.4916189576745078,0.5506161805560914,0.20296717297163575,0.28865178470287206,21.556818181818183,0.19052173474999973,0.0,0.0,0.8934417908940863,0.37658511622229424,0.11909703918467757,0.6234148837777058,2513842.0,2513842.0,0
cora_deepres28_w128,17,12,P3_COST_AWARE,16,0.4916189576745078,0.5506161805560914,0.20296717297163575,0.28865178470287206,21.556818181818183,0.19052173474999973,0.0,0.0,0.8934417908940863,0.37658511622229424,0.11909703918467757,0.6234148837777058,2513842.0,2513842.0,0
cora_deepres28_w128,17,12,P3_COST_AWARE,16,0.4916189576745078,0.5506161805560914,0.20296717297163575,0.28865178470287206,21.556818181818183,0.19052173474999973,0.0,0.0,0.8934417908940863,0.37658511622229424,0.11909703918467757,0.6234148837777058,2513842.0,2513842.0,0
cora_deepres28_w128,17,12,P4_FIXED_BSR,16,0.22839921757711615,0.18834207738906877,0.23821981673467926,-0.009820599157563115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2634843.0,2634843.0,0
cora_deepres28_w128,17,12,P0_CONTIGUOUS,32,0.23254509174021684,0.1930047846601915,0.23851781139577186,-0.005972719655555014,81.45454545454545,0.2716855135830966,0.0,0.41731770833333337,0.4385091145833333,0.6896470372822152,0.5730656215122768,0.31035296271778473,2551379.0,2551379.0,0
cora_deepres28_w128,17,12,P1_DENSITY_SORTED,32,0.32961863409715497,0.30329717197829054,0.20717114667634395,0.12244748742081102,69.18181818181819,0.31494123643126676,0.0,0.43992452707055896,0.713763427734375,0.7938949844364005,0.4213437294678055,0.20610501556359948,2029832.0,2029832.0,0
cora_deepres28_w128,17,12,P2_CORRELATION,32,0.39630500483550907,0.4324108726120938,0.18563700612541711,0.21066799871009195,60.57954545454545,0.38597258960850084,0.0,0.5507147447393592,0.7711240580943121,0.7927024793776438,0.34016737791533797,0.20729752062235618,1961861.0,1961861.0,0
cora_deepres28_w128,17,12,P3_COST_AWARE,32,0.39630500483550907,0.4324108726120938,0.18563700612541711,0.21066799871009195,60.57954545454545,0.38597258960850084,0.0,0.5507147447393592,0.7711240580943121,0.7927024793776438,0.34016737791533797,0.20729752062235618,1961861.0,1961861.0,0
cora_deepres28_w128,17,12,P3_COST_AWARE,32,0.39630500483550907,0.4324108726120938,0.18563700612541711,0.21066799871009195,60.57954545454545,0.38597258960850084,0.0,0.5507147447393592,0.7711240580943121,0.7927024793776438,0.34016737791533797,0.20729752062235618,1961861.0,1961861.0,0
cora_deepres28_w128,17,12,P4_FIXED_BSR,32,0.23254509174021684,0.1930047846601915,0.23851781139577186,-0.005972719655555014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2633628.0,2633628.0,0
chameleon_gcnii16,4,13,P0_CONTIGUOUS,4,0.5907853965046371,0.6085984664408219,0.6099045673778359,-0.01911917087319881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2047682.0,2047682.0,0
chameleon_gcnii16,4,13,P1_DENSITY_SORTED,4,0.7258376022543498,0.7440170734181668,0.6031519570903503,0.12268564516399949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2046956.0,2046956.0,0
chameleon_gcnii16,4,13,P2_CORRELATION,4,0.7760182253006199,0.7869029838345953,0.6006429259380368,0.17537529936258311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2046939.0,2046939.0,0
chameleon_gcnii16,4,13,P3_COST_AWARE,4,0.7813996520254373,0.7893507982027813,0.6003738546017959,0.18102579742364133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2046939.0,2046932.0,2
chameleon_gcnii16,4,13,P3_COST_AWARE,4,0.7813996520254373,0.7893507982027813,0.6003738546017959,0.18102579742364133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2046939.0,2046932.0,2
chameleon_gcnii16,4,13,P4_FIXED_BSR,4,0.5907853965046371,0.6085984664408219,0.6099045673778359,-0.01911917087319881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2046530.0,2046530.0,0
