LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
420, 33.0, 211.0, 624, 25.0, 165.0, 512, 63.0, 265.0, 2496, -263.0, -1.0, 312, -263.0, -1.0, 512, 265.0, 342.0, 2496,
421, 33.0, 477.0, 1248, 25.0, 431.0, 1024, 63.0, 531.0, 4992, -263.0, -1.0, 312, -263.0, -1.0, 1024, 531.0, 686.0, 4992,
422, 33.0, 219.0, 1248, 17.0, 165.0, 1024, 63.0, 265.0, 2496, -263.0, -1.0, 624, -263.0, -1.0, 1024, 265.0, 342.0, 2496,
423, 33.0, 485.0, 2496, 17.0, 431.0, 2048, 63.0, 531.0, 4992, -263.0, -1.0, 624, -263.0, -1.0, 2048, 531.0, 686.0, 4992,
424, 33.0, 235.0, 2496, 1.0, 165.0, 2048, 63.0, 265.0, 2496, -263.0, -1.0, 1248, -263.0, -1.0, 2048, 265.0, 342.0, 2496,
425, 33.0, 501.0, 4992, 1.0, 431.0, 4096, 63.0, 531.0, 4992, -263.0, -1.0, 1248, -525.0, -1.0, 4096, 531.0, 686.0, 4992,
426, 33.0, 501.0, 4992, 1.0, 431.0, 4096, 63.0, 531.0, 4992, -263.0, -1.0, 2496, -525.0, -1.0, 4096, 531.0, 686.0, 4992,
427, 33.0, 1033.0, 9984, 1.0, 963.0, 8192, 63.0, 1063.0, 9984, -263.0, -1.0, 2496, -1049.0, -1.0, 8192, 1063.0, 1374.0, 9984,
428, 33.0, 2097.0, 19968, 1.0, 2027.0, 16384, 63.0, 2127.0, 19968, -525.0, -1.0, 4992, -1835.0, -1.0, 16384, 2127.0, 2750.0, 19968,
429, 33.0, 209.0, 320, 29.0, 166.0, 256, 63.0, 267.0, 2560, -263.0, -1.0, 160, -263.0, -1.0, 256, 267.0, 346.0, 2560,
430, 33.0, 477.0, 640, 29.0, 434.0, 512, 63.0, 535.0, 5120, -263.0, -1.0, 160, -263.0, -1.0, 512, 535.0, 694.0, 5120,
431, 33.0, 213.0, 640, 25.0, 166.0, 512, 63.0, 267.0, 2560, -263.0, -1.0, 320, -263.0, -1.0, 512, 267.0, 346.0, 2560,
432, 33.0, 481.0, 1280, 25.0, 434.0, 1024, 63.0, 535.0, 5120, -263.0, -1.0, 320, -263.0, -1.0, 1024, 535.0, 694.0, 5120,
433, 33.0, 221.0, 1280, 17.0, 166.0, 1024, 63.0, 267.0, 2560, -263.0, -1.0, 640, -263.0, -1.0, 1024, 267.0, 346.0, 2560,
434, 33.0, 489.0, 2560, 17.0, 434.0, 2048, 63.0, 535.0, 5120, -263.0, -1.0, 640, -263.0, -1.0, 2048, 535.0, 694.0, 5120,
435, 33.0, 237.0, 2560, 1.0, 166.0, 2048, 63.0, 267.0, 2560, -263.0, -1.0, 1280, -263.0, -1.0, 2048, 267.0, 346.0, 2560,
436, 33.0, 505.0, 5120, 1.0, 434.0, 4096, 63.0, 535.0, 5120, -263.0, -1.0, 1280, -525.0, -1.0, 4096, 535.0, 694.0, 5120,
437, 33.0, 505.0, 5120, 1.0, 434.0, 4096, 63.0, 535.0, 5120, -263.0, -1.0, 2560, -525.0, -1.0, 4096, 535.0, 694.0, 5120,
438, 33.0, 1041.0, 10240, 1.0, 970.0, 8192, 63.0, 1071.0, 10240, -263.0, -1.0, 2560, -1049.0, -1.0, 8192, 1071.0, 1390.0, 10240,
439, 33.0, 2113.0, 20480, 1.0, 2042.0, 16384, 63.0, 2143.0, 20480, -525.0, -1.0, 5120, -1835.0, -1.0, 16384, 2143.0, 2782.0, 20480,
440, 33.0, 211.0, 328, 29.0, 167.0, 256, 63.0, 269.0, 2624, -263.0, -1.0, 164, -263.0, -1.0, 256, 269.0, 350.0, 2624,
441, 33.0, 481.0, 656, 29.0, 437.0, 512, 63.0, 539.0, 5248, -263.0, -1.0, 164, -263.0, -1.0, 512, 539.0, 702.0, 5248,
442, 33.0, 215.0, 656, 25.0, 167.0, 512, 63.0, 269.0, 2624, -263.0, -1.0, 328, -263.0, -1.0, 512, 269.0, 350.0, 2624,
443, 33.0, 485.0, 1312, 25.0, 437.0, 1024, 63.0, 539.0, 5248, -263.0, -1.0, 328, -263.0, -1.0, 1024, 539.0, 702.0, 5248,
444, 33.0, 223.0, 1312, 17.0, 167.0, 1024, 63.0, 269.0, 2624, -263.0, -1.0, 656, -263.0, -1.0, 1024, 269.0, 350.0, 2624,
445, 33.0, 493.0, 2624, 17.0, 437.0, 2048, 63.0, 539.0, 5248, -263.0, -1.0, 656, -263.0, -1.0, 2048, 539.0, 702.0, 5248,
446, 33.0, 239.0, 2624, 1.0, 167.0, 2048, 63.0, 269.0, 2624, -263.0, -1.0, 1312, -263.0, -1.0, 2048, 269.0, 350.0, 2624,
447, 33.0, 509.0, 5248, 1.0, 437.0, 4096, 63.0, 539.0, 5248, -263.0, -1.0, 1312, -525.0, -1.0, 4096, 539.0, 702.0, 5248,
448, 33.0, 509.0, 5248, 1.0, 437.0, 4096, 63.0, 539.0, 5248, -525.0, -1.0, 2624, -525.0, -1.0, 4096, 539.0, 702.0, 5248,
449, 33.0, 1049.0, 10496, 1.0, 977.0, 8192, 63.0, 1079.0, 10496, -525.0, -1.0, 2624, -1049.0, -1.0, 8192, 1079.0, 1406.0, 10496,
450, 33.0, 2129.0, 20992, 1.0, 2057.0, 16384, 63.0, 2159.0, 20992, -787.0, -1.0, 5248, -1835.0, -1.0, 16384, 2159.0, 2814.0, 20992,
451, 33.0, 213.0, 336, 29.0, 168.0, 256, 63.0, 271.0, 2688, -263.0, -1.0, 168, -263.0, -1.0, 256, 271.0, 354.0, 2688,
452, 33.0, 485.0, 672, 29.0, 440.0, 512, 63.0, 543.0, 5376, -263.0, -1.0, 168, -263.0, -1.0, 512, 543.0, 710.0, 5376,
453, 33.0, 217.0, 672, 25.0, 168.0, 512, 63.0, 271.0, 2688, -263.0, -1.0, 336, -263.0, -1.0, 512, 271.0, 354.0, 2688,
454, 33.0, 489.0, 1344, 25.0, 440.0, 1024, 63.0, 543.0, 5376, -263.0, -1.0, 336, -263.0, -1.0, 1024, 543.0, 710.0, 5376,
455, 33.0, 225.0, 1344, 17.0, 168.0, 1024, 63.0, 271.0, 2688, -263.0, -1.0, 672, -263.0, -1.0, 1024, 271.0, 354.0, 2688,
456, 33.0, 497.0, 2688, 17.0, 440.0, 2048, 63.0, 543.0, 5376, -263.0, -1.0, 672, -263.0, -1.0, 2048, 543.0, 710.0, 5376,
457, 33.0, 241.0, 2688, 1.0, 168.0, 2048, 63.0, 271.0, 2688, -263.0, -1.0, 1344, -263.0, -1.0, 2048, 271.0, 354.0, 2688,
458, 33.0, 513.0, 5376, 1.0, 440.0, 4096, 63.0, 543.0, 5376, -263.0, -1.0, 1344, -525.0, -1.0, 4096, 543.0, 710.0, 5376,
459, 33.0, 513.0, 5376, 1.0, 440.0, 4096, 63.0, 543.0, 5376, -525.0, -1.0, 2688, -525.0, -1.0, 4096, 543.0, 710.0, 5376,
460, 33.0, 1057.0, 10752, 1.0, 984.0, 8192, 63.0, 1087.0, 10752, -525.0, -1.0, 2688, -1049.0, -1.0, 8192, 1087.0, 1422.0, 10752,
461, 33.0, 2145.0, 21504, 1.0, 2072.0, 16384, 63.0, 2175.0, 21504, -787.0, -1.0, 5376, -1835.0, -1.0, 16384, 2175.0, 2846.0, 21504,
462, 33.0, 215.0, 344, 29.0, 169.0, 256, 63.0, 273.0, 2752, -263.0, -1.0, 172, -263.0, -1.0, 256, 273.0, 358.0, 2752,
463, 33.0, 489.0, 688, 29.0, 443.0, 512, 63.0, 547.0, 5504, -263.0, -1.0, 172, -263.0, -1.0, 512, 547.0, 718.0, 5504,
464, 33.0, 219.0, 688, 25.0, 169.0, 512, 63.0, 273.0, 2752, -263.0, -1.0, 344, -263.0, -1.0, 512, 273.0, 358.0, 2752,
465, 33.0, 493.0, 1376, 25.0, 443.0, 1024, 63.0, 547.0, 5504, -263.0, -1.0, 344, -263.0, -1.0, 1024, 547.0, 718.0, 5504,
466, 33.0, 227.0, 1376, 17.0, 169.0, 1024, 63.0, 273.0, 2752, -263.0, -1.0, 688, -263.0, -1.0, 1024, 273.0, 358.0, 2752,
467, 33.0, 501.0, 2752, 17.0, 443.0, 2048, 63.0, 547.0, 5504, -263.0, -1.0, 688, -263.0, -1.0, 2048, 547.0, 718.0, 5504,
468, 33.0, 243.0, 2752, 1.0, 169.0, 2048, 63.0, 273.0, 2752, -263.0, -1.0, 1376, -263.0, -1.0, 2048, 273.0, 358.0, 2752,
469, 33.0, 517.0, 5504, 1.0, 443.0, 4096, 63.0, 547.0, 5504, -263.0, -1.0, 1376, -525.0, -1.0, 4096, 547.0, 718.0, 5504,
470, 33.0, 517.0, 5504, 1.0, 443.0, 4096, 63.0, 547.0, 5504, -525.0, -1.0, 2752, -525.0, -1.0, 4096, 547.0, 718.0, 5504,
471, 33.0, 1065.0, 11008, 1.0, 991.0, 8192, 63.0, 1095.0, 11008, -525.0, -1.0, 2752, -1049.0, -1.0, 8192, 1095.0, 1438.0, 11008,
472, 33.0, 2161.0, 22016, 1.0, 2087.0, 16384, 63.0, 2191.0, 22016, -787.0, -1.0, 5504, -1835.0, -1.0, 16384, 2191.0, 2878.0, 22016,
473, 33.0, 217.0, 352, 29.0, 170.0, 256, 63.0, 275.0, 2816, -263.0, -1.0, 176, -263.0, -1.0, 256, 275.0, 362.0, 2816,
474, 33.0, 493.0, 704, 29.0, 446.0, 512, 63.0, 551.0, 5632, -263.0, -1.0, 176, -263.0, -1.0, 512, 551.0, 726.0, 5632,
475, 33.0, 221.0, 704, 25.0, 170.0, 512, 63.0, 275.0, 2816, -263.0, -1.0, 352, -263.0, -1.0, 512, 275.0, 362.0, 2816,
476, 33.0, 497.0, 1408, 25.0, 446.0, 1024, 63.0, 551.0, 5632, -263.0, -1.0, 352, -263.0, -1.0, 1024, 551.0, 726.0, 5632,
477, 33.0, 229.0, 1408, 17.0, 170.0, 1024, 63.0, 275.0, 2816, -263.0, -1.0, 704, -263.0, -1.0, 1024, 275.0, 362.0, 2816,
478, 33.0, 505.0, 2816, 17.0, 446.0, 2048, 63.0, 551.0, 5632, -263.0, -1.0, 704, -263.0, -1.0, 2048, 551.0, 726.0, 5632,
479, 33.0, 245.0, 2816, 1.0, 170.0, 2048, 63.0, 275.0, 2816, -263.0, -1.0, 1408, -263.0, -1.0, 2048, 275.0, 362.0, 2816,
480, 33.0, 521.0, 5632, 1.0, 446.0, 4096, 63.0, 551.0, 5632, -263.0, -1.0, 1408, -525.0, -1.0, 4096, 551.0, 726.0, 5632,
481, 33.0, 521.0, 5632, 1.0, 446.0, 4096, 63.0, 551.0, 5632, -525.0, -1.0, 2816, -525.0, -1.0, 4096, 551.0, 726.0, 5632,
482, 33.0, 1073.0, 11264, 1.0, 998.0, 8192, 63.0, 1103.0, 11264, -525.0, -1.0, 2816, -1049.0, -1.0, 8192, 1103.0, 1454.0, 11264,
483, 33.0, 2177.0, 22528, 1.0, 2102.0, 16384, 63.0, 2207.0, 22528, -787.0, -1.0, 5632, -1835.0, -1.0, 16384, 2207.0, 2910.0, 22528,
484, 33.0, 219.0, 360, 29.0, 171.0, 256, 63.0, 277.0, 2880, -263.0, -1.0, 180, -263.0, -1.0, 256, 277.0, 366.0, 2880,
485, 33.0, 497.0, 720, 29.0, 449.0, 512, 63.0, 555.0, 5760, -263.0, -1.0, 180, -263.0, -1.0, 512, 555.0, 734.0, 5760,
486, 33.0, 223.0, 720, 25.0, 171.0, 512, 63.0, 277.0, 2880, -263.0, -1.0, 360, -263.0, -1.0, 512, 277.0, 366.0, 2880,
487, 33.0, 501.0, 1440, 25.0, 449.0, 1024, 63.0, 555.0, 5760, -263.0, -1.0, 360, -263.0, -1.0, 1024, 555.0, 734.0, 5760,
488, 33.0, 231.0, 1440, 17.0, 171.0, 1024, 63.0, 277.0, 2880, -263.0, -1.0, 720, -263.0, -1.0, 1024, 277.0, 366.0, 2880,
489, 33.0, 509.0, 2880, 17.0, 449.0, 2048, 63.0, 555.0, 5760, -263.0, -1.0, 720, -263.0, -1.0, 2048, 555.0, 734.0, 5760,
490, 33.0, 247.0, 2880, 1.0, 171.0, 2048, 63.0, 277.0, 2880, -263.0, -1.0, 1440, -263.0, -1.0, 2048, 277.0, 366.0, 2880,
491, 33.0, 525.0, 5760, 1.0, 449.0, 4096, 63.0, 555.0, 5760, -263.0, -1.0, 1440, -525.0, -1.0, 4096, 555.0, 734.0, 5760,
492, 33.0, 525.0, 5760, 1.0, 449.0, 4096, 63.0, 555.0, 5760, -525.0, -1.0, 2880, -525.0, -1.0, 4096, 555.0, 734.0, 5760,
493, 33.0, 1081.0, 11520, 1.0, 1005.0, 8192, 63.0, 1111.0, 11520, -525.0, -1.0, 2880, -1049.0, -1.0, 8192, 1111.0, 1470.0, 11520,
494, 33.0, 2193.0, 23040, 1.0, 2117.0, 16384, 63.0, 2223.0, 23040, -787.0, -1.0, 5760, -1835.0, -1.0, 16384, 2223.0, 2942.0, 23040,
495, 33.0, 221.0, 368, 29.0, 172.0, 256, 63.0, 279.0, 2944, -263.0, -1.0, 184, -263.0, -1.0, 256, 279.0, 370.0, 2944,
496, 33.0, 501.0, 736, 29.0, 452.0, 512, 63.0, 559.0, 5888, -263.0, -1.0, 184, -263.0, -1.0, 512, 559.0, 742.0, 5888,
497, 33.0, 225.0, 736, 25.0, 172.0, 512, 63.0, 279.0, 2944, -263.0, -1.0, 368, -263.0, -1.0, 512, 279.0, 370.0, 2944,
498, 33.0, 505.0, 1472, 25.0, 452.0, 1024, 63.0, 559.0, 5888, -263.0, -1.0, 368, -263.0, -1.0, 1024, 559.0, 742.0, 5888,
499, 33.0, 233.0, 1472, 17.0, 172.0, 1024, 63.0, 279.0, 2944, -263.0, -1.0, 736, -263.0, -1.0, 1024, 279.0, 370.0, 2944,
500, 33.0, 513.0, 2944, 17.0, 452.0, 2048, 63.0, 559.0, 5888, -263.0, -1.0, 736, -263.0, -1.0, 2048, 559.0, 742.0, 5888,
501, 33.0, 249.0, 2944, 1.0, 172.0, 2048, 63.0, 279.0, 2944, -263.0, -1.0, 1472, -263.0, -1.0, 2048, 279.0, 370.0, 2944,
502, 33.0, 529.0, 5888, 1.0, 452.0, 4096, 63.0, 559.0, 5888, -263.0, -1.0, 1472, -525.0, -1.0, 4096, 559.0, 742.0, 5888,
503, 33.0, 529.0, 5888, 1.0, 452.0, 4096, 63.0, 559.0, 5888, -525.0, -1.0, 2944, -525.0, -1.0, 4096, 559.0, 742.0, 5888,
504, 33.0, 1089.0, 11776, 1.0, 1012.0, 8192, 63.0, 1119.0, 11776, -525.0, -1.0, 2944, -1049.0, -1.0, 8192, 1119.0, 1486.0, 11776,
505, 33.0, 2209.0, 23552, 1.0, 2132.0, 16384, 63.0, 2239.0, 23552, -787.0, -1.0, 5888, -1835.0, -1.0, 16384, 2239.0, 2974.0, 23552,
506, 33.0, 223.0, 376, 29.0, 173.0, 256, 63.0, 281.0, 3008, -263.0, -1.0, 188, -263.0, -1.0, 256, 281.0, 374.0, 3008,
507, 33.0, 505.0, 752, 29.0, 455.0, 512, 63.0, 563.0, 6016, -263.0, -1.0, 188, -263.0, -1.0, 512, 563.0, 750.0, 6016,
508, 33.0, 227.0, 752, 25.0, 173.0, 512, 63.0, 281.0, 3008, -263.0, -1.0, 376, -263.0, -1.0, 512, 281.0, 374.0, 3008,
509, 33.0, 509.0, 1504, 25.0, 455.0, 1024, 63.0, 563.0, 6016, -263.0, -1.0, 376, -263.0, -1.0, 1024, 563.0, 750.0, 6016,
510, 33.0, 235.0, 1504, 17.0, 173.0, 1024, 63.0, 281.0, 3008, -263.0, -1.0, 752, -263.0, -1.0, 1024, 281.0, 374.0, 3008,
511, 33.0, 517.0, 3008, 17.0, 455.0, 2048, 63.0, 563.0, 6016, -263.0, -1.0, 752, -263.0, -1.0, 2048, 563.0, 750.0, 6016,
512, 33.0, 251.0, 3008, 1.0, 173.0, 2048, 63.0, 281.0, 3008, -263.0, -1.0, 1504, -263.0, -1.0, 2048, 281.0, 374.0, 3008,
513, 33.0, 533.0, 6016, 1.0, 455.0, 4096, 63.0, 563.0, 6016, -263.0, -1.0, 1504, -525.0, -1.0, 4096, 563.0, 750.0, 6016,
514, 33.0, 533.0, 6016, 1.0, 455.0, 4096, 63.0, 563.0, 6016, -525.0, -1.0, 3008, -525.0, -1.0, 4096, 563.0, 750.0, 6016,
515, 33.0, 1097.0, 12032, 1.0, 1019.0, 8192, 63.0, 1127.0, 12032, -525.0, -1.0, 3008, -1049.0, -1.0, 8192, 1127.0, 1502.0, 12032,
516, 33.0, 2225.0, 24064, 1.0, 2147.0, 16384, 63.0, 2255.0, 24064, -787.0, -1.0, 6016, -1835.0, -1.0, 16384, 2255.0, 3006.0, 24064,
517, 33.0, 225.0, 384, 29.0, 174.0, 256, 63.0, 283.0, 3072, -263.0, -1.0, 192, -263.0, -1.0, 256, 283.0, 378.0, 3072,
518, 33.0, 509.0, 768, 29.0, 458.0, 512, 63.0, 567.0, 6144, -263.0, -1.0, 192, -263.0, -1.0, 512, 567.0, 758.0, 6144,
519, 33.0, 229.0, 768, 25.0, 174.0, 512, 63.0, 283.0, 3072, -263.0, -1.0, 384, -263.0, -1.0, 512, 283.0, 378.0, 3072,
520, 33.0, 513.0, 1536, 25.0, 458.0, 1024, 63.0, 567.0, 6144, -263.0, -1.0, 384, -263.0, -1.0, 1024, 567.0, 758.0, 6144,
521, 33.0, 237.0, 1536, 17.0, 174.0, 1024, 63.0, 283.0, 3072, -263.0, -1.0, 768, -263.0, -1.0, 1024, 283.0, 378.0, 3072,
