LayerID, Total Cycles (incl. prefetch), Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
250, 1083, 467, 0, 19.700214132762312, 100.0, 15.54054054054054,
251, 2167, 935, 0, 19.67914438502674, 100.0, 15.54054054054054,
252, 4073, 1871, 0, 19.668626402993052, 100.0, 15.54054054054054,
253, 545, 235, 0, 2.5531914893617023, 12.5, 2.013422818791946,
254, 829, 471, 0, 2.5477707006369426, 12.5, 2.013422818791946,
255, 545, 235, 0, 5.1063829787234045, 25.0, 4.026845637583892,
256, 829, 471, 0, 5.095541401273885, 25.0, 4.026845637583892,
257, 545, 235, 0, 10.212765957446809, 50.0, 8.053691275167784,
258, 829, 471, 0, 10.19108280254777, 50.0, 8.053691275167784,
259, 545, 235, 0, 20.425531914893618, 100.0, 16.10738255033557,
260, 1091, 471, 0, 20.38216560509554, 100.0, 16.10738255033557,
261, 1091, 471, 0, 20.38216560509554, 100.0, 16.10738255033557,
262, 2183, 943, 0, 20.360551431601273, 100.0, 16.10738255033557,
263, 4105, 1887, 0, 20.349761526232115, 100.0, 16.107382550335565,
264, 549, 237, 0, 2.6371308016877637, 12.5, 2.083333333333333,
265, 837, 475, 0, 2.6315789473684212, 12.5, 2.083333333333333,
266, 549, 237, 0, 5.274261603375527, 25.0, 4.166666666666666,
267, 837, 475, 0, 5.2631578947368425, 25.0, 4.166666666666666,
268, 549, 237, 0, 10.548523206751055, 50.0, 8.333333333333332,
269, 837, 475, 0, 10.526315789473685, 50.0, 8.333333333333332,
270, 549, 237, 0, 21.09704641350211, 100.0, 16.666666666666664,
271, 1099, 475, 0, 21.05263157894737, 100.0, 16.666666666666664,
272, 1099, 475, 0, 21.05263157894737, 100.0, 16.666666666666664,
273, 2199, 951, 0, 21.03049421661409, 100.0, 16.666666666666664,
274, 4137, 1903, 0, 21.019442984760904, 100.0, 16.666666666666664,
275, 553, 239, 0, 2.719665271966527, 12.5, 2.152317880794702,
276, 845, 479, 0, 2.7139874739039667, 12.5, 2.152317880794702,
277, 553, 239, 0, 5.439330543933054, 25.0, 4.304635761589404,
278, 845, 479, 0, 5.427974947807933, 25.0, 4.304635761589404,
279, 553, 239, 0, 10.878661087866108, 50.0, 8.609271523178808,
280, 845, 479, 0, 10.855949895615867, 50.0, 8.609271523178808,
281, 553, 239, 0, 21.757322175732217, 100.0, 17.218543046357617,
282, 1107, 479, 0, 21.711899791231733, 100.0, 17.218543046357617,
283, 1107, 479, 0, 21.711899791231733, 100.0, 17.218543046357617,
284, 2215, 959, 0, 21.689259645464023, 100.0, 17.218543046357617,
285, 4169, 1919, 0, 21.677957269411152, 100.0, 17.218543046357617,
286, 557, 241, 0, 2.800829875518672, 12.5, 2.2203947368421053,
287, 853, 483, 0, 2.7950310559006213, 12.5, 2.2203947368421053,
288, 557, 241, 0, 5.601659751037344, 25.0, 4.440789473684211,
289, 853, 483, 0, 5.590062111801243, 25.0, 4.440789473684211,
290, 557, 241, 0, 11.203319502074688, 50.0, 8.881578947368421,
291, 853, 483, 0, 11.180124223602485, 50.0, 8.881578947368421,
292, 557, 241, 0, 22.406639004149376, 100.0, 17.763157894736842,
293, 1115, 483, 0, 22.36024844720497, 100.0, 17.763157894736842,
294, 1115, 483, 0, 22.36024844720497, 100.0, 17.763157894736842,
295, 2231, 967, 0, 22.33712512926577, 100.0, 17.76315789473684,
296, 4201, 1935, 0, 22.325581395348838, 100.0, 17.763157894736846,
297, 561, 243, 0, 2.880658436213992, 12.5, 2.287581699346405,
298, 861, 487, 0, 2.8747433264887063, 12.5, 2.287581699346405,
299, 561, 243, 0, 5.761316872427984, 25.0, 4.57516339869281,
300, 861, 487, 0, 5.749486652977413, 25.0, 4.57516339869281,
301, 561, 243, 0, 11.522633744855968, 50.0, 9.15032679738562,
302, 861, 487, 0, 11.498973305954825, 50.0, 9.15032679738562,
303, 561, 243, 0, 23.045267489711936, 100.0, 18.30065359477124,
304, 1123, 487, 0, 22.99794661190965, 100.0, 18.30065359477124,
305, 1123, 487, 0, 22.99794661190965, 100.0, 18.30065359477124,
306, 2247, 975, 0, 22.974358974358974, 100.0, 18.30065359477124,
307, 4233, 1951, 0, 22.962583290620195, 100.0, 18.300653594771234,
308, 565, 245, 0, 2.9591836734693877, 12.5, 2.353896103896104,
309, 869, 491, 0, 2.9531568228105907, 12.5, 2.353896103896104,
310, 565, 245, 0, 5.918367346938775, 25.0, 4.707792207792208,
311, 869, 491, 0, 5.906313645621181, 25.0, 4.707792207792208,
312, 565, 245, 0, 11.83673469387755, 50.0, 9.415584415584416,
313, 869, 491, 0, 11.812627291242363, 50.0, 9.415584415584416,
314, 565, 245, 0, 23.6734693877551, 100.0, 18.83116883116883,
315, 1131, 491, 0, 23.625254582484725, 100.0, 18.83116883116883,
316, 1131, 491, 0, 23.625254582484725, 100.0, 18.83116883116883,
317, 2263, 983, 0, 23.60122075279756, 100.0, 18.83116883116883,
318, 4265, 1967, 0, 23.589222165734622, 100.0, 18.831168831168828,
319, 569, 247, 0, 3.0364372469635628, 12.5, 2.4193548387096775,
320, 877, 495, 0, 3.0303030303030303, 12.5, 2.4193548387096775,
321, 569, 247, 0, 6.0728744939271255, 25.0, 4.838709677419355,
322, 877, 495, 0, 6.0606060606060606, 25.0, 4.838709677419355,
323, 569, 247, 0, 12.145748987854251, 50.0, 9.67741935483871,
324, 877, 495, 0, 12.121212121212121, 50.0, 9.67741935483871,
325, 569, 247, 0, 24.291497975708502, 100.0, 19.35483870967742,
326, 1139, 495, 0, 24.242424242424242, 100.0, 19.35483870967742,
327, 1139, 495, 0, 24.242424242424242, 100.0, 19.35483870967742,
328, 2279, 991, 0, 24.217961654894047, 100.0, 19.35483870967742,
329, 4297, 1983, 0, 24.20574886535552, 100.0, 19.354838709677416,
330, 573, 249, 0, 3.112449799196787, 12.5, 2.483974358974359,
331, 885, 499, 0, 3.1062124248496996, 12.5, 2.483974358974359,
332, 573, 249, 0, 6.224899598393574, 25.0, 4.967948717948718,
333, 885, 499, 0, 6.212424849699399, 25.0, 4.967948717948718,
334, 573, 249, 0, 12.449799196787149, 50.0, 9.935897435897436,
335, 885, 499, 0, 12.424849699398798, 50.0, 9.935897435897436,
336, 573, 249, 0, 24.899598393574298, 100.0, 19.871794871794872,
337, 1147, 499, 0, 24.849699398797597, 100.0, 19.871794871794872,
338, 1147, 499, 0, 24.849699398797597, 100.0, 19.871794871794872,
339, 2295, 999, 0, 24.824824824824823, 100.0, 19.871794871794872,
340, 4329, 1999, 0, 24.81240620310155, 100.0, 19.871794871794876,
341, 577, 251, 0, 3.187250996015936, 12.5, 2.547770700636943,
342, 893, 503, 0, 3.1809145129224654, 12.5, 2.547770700636943,
343, 577, 251, 0, 6.374501992031872, 25.0, 5.095541401273886,
344, 893, 503, 0, 6.361829025844931, 25.0, 5.095541401273886,
345, 577, 251, 0, 12.749003984063744, 50.0, 10.191082802547772,
346, 893, 503, 0, 12.723658051689862, 50.0, 10.191082802547772,
347, 577, 251, 0, 25.49800796812749, 100.0, 20.382165605095544,
348, 1155, 503, 0, 25.447316103379723, 100.0, 20.382165605095544,
349, 1155, 503, 0, 25.447316103379723, 100.0, 20.382165605095544,
350, 2311, 1007, 0, 25.42204568023833, 100.0, 20.38216560509554,
351, 4361, 2015, 0, 25.409429280397024, 100.0, 20.38216560509554,
352, 581, 253, 0, 3.260869565217391, 12.5, 2.6107594936708862,
353, 901, 507, 0, 3.2544378698224854, 12.5, 2.6107594936708862,
354, 581, 253, 0, 6.521739130434782, 25.0, 5.2215189873417724,
355, 901, 507, 0, 6.508875739644971, 25.0, 5.2215189873417724,
356, 581, 253, 0, 13.043478260869565, 50.0, 10.443037974683545,
357, 901, 507, 0, 13.017751479289942, 50.0, 10.443037974683545,
358, 581, 253, 0, 26.08695652173913, 100.0, 20.88607594936709,
359, 1163, 507, 0, 26.035502958579883, 100.0, 20.88607594936709,
360, 1163, 507, 0, 26.035502958579883, 100.0, 20.88607594936709,
361, 2327, 1015, 0, 26.00985221674877, 100.0, 20.88607594936709,
362, 4393, 2031, 0, 25.997045790251107, 100.0, 20.886075949367093,
363, 585, 255, 0, 3.3333333333333335, 12.5, 2.6729559748427674,
364, 909, 511, 0, 3.3268101761252447, 12.5, 2.6729559748427674,
365, 585, 255, 0, 6.666666666666667, 25.0, 5.345911949685535,
366, 909, 511, 0, 6.653620352250489, 25.0, 5.345911949685535,
367, 585, 255, 0, 13.333333333333334, 50.0, 10.69182389937107,
368, 909, 511, 0, 13.307240704500979, 50.0, 10.69182389937107,
369, 585, 255, 0, 26.666666666666668, 100.0, 21.38364779874214,
370, 1171, 511, 0, 26.614481409001957, 100.0, 21.38364779874214,
371, 1171, 511, 0, 26.614481409001957, 100.0, 21.38364779874214,
372, 2343, 1023, 0, 26.58846529814272, 100.0, 21.383647798742135,
373, 4425, 2047, 0, 26.575476306790424, 100.0, 21.383647798742135,
374, 589, 257, 0, 3.404669260700389, 12.5, 2.734375,
375, 917, 515, 0, 3.3980582524271843, 12.5, 2.734375,
376, 589, 257, 0, 6.809338521400778, 25.0, 5.46875,
377, 917, 515, 0, 6.796116504854369, 25.0, 5.46875,
378, 589, 257, 0, 13.618677042801556, 50.0, 10.9375,
379, 917, 515, 0, 13.592233009708737, 50.0, 10.9375,
380, 589, 257, 0, 27.237354085603112, 100.0, 21.875,
381, 1179, 515, 0, 27.184466019417474, 100.0, 21.875,
382, 1179, 515, 0, 27.184466019417474, 100.0, 21.875,
383, 2359, 1031, 0, 27.158098933074683, 100.0, 21.875,
384, 4457, 2063, 0, 27.14493456131847, 100.0, 21.875,
385, 593, 259, 0, 3.474903474903475, 12.5, 2.7950310559006213,
386, 925, 519, 0, 3.468208092485549, 12.5, 2.7950310559006213,
387, 593, 259, 0, 6.94980694980695, 25.0, 5.590062111801243,
388, 925, 519, 0, 6.936416184971098, 25.0, 5.590062111801243,
389, 593, 259, 0, 13.8996138996139, 50.0, 11.180124223602485,
390, 925, 519, 0, 13.872832369942197, 50.0, 11.180124223602485,
391, 593, 259, 0, 27.7992277992278, 100.0, 22.36024844720497,
392, 1187, 519, 0, 27.745664739884393, 100.0, 22.36024844720497,
393, 1187, 519, 0, 27.745664739884393, 100.0, 22.36024844720497,
394, 2375, 1039, 0, 27.71896053897979, 100.0, 22.36024844720497,
395, 4489, 2079, 0, 27.705627705627705, 100.0, 22.36024844720497,
396, 597, 261, 0, 3.5440613026819925, 12.5, 2.8549382716049383,
397, 933, 523, 0, 3.537284894837476, 12.5, 2.8549382716049383,
398, 597, 261, 0, 7.088122605363985, 25.0, 5.709876543209877,
399, 933, 523, 0, 7.074569789674952, 25.0, 5.709876543209877,
400, 597, 261, 0, 14.17624521072797, 50.0, 11.419753086419753,
401, 933, 523, 0, 14.149139579349905, 50.0, 11.419753086419753,
402, 597, 261, 0, 28.35249042145594, 100.0, 22.839506172839506,
403, 1195, 523, 0, 28.29827915869981, 100.0, 22.839506172839506,
404, 1195, 523, 0, 28.29827915869981, 100.0, 22.839506172839506,
405, 2391, 1047, 0, 28.2712511938873, 100.0, 22.839506172839503,
406, 4521, 2095, 0, 28.257756563245824, 100.0, 22.83950617283951,
407, 601, 263, 0, 3.612167300380228, 12.5, 2.9141104294478524,
408, 941, 527, 0, 3.6053130929791273, 12.5, 2.9141104294478524,
409, 601, 263, 0, 7.224334600760456, 25.0, 5.828220858895705,
410, 941, 527, 0, 7.2106261859582546, 25.0, 5.828220858895705,
411, 601, 263, 0, 14.448669201520913, 50.0, 11.65644171779141,
412, 941, 527, 0, 14.421252371916509, 50.0, 11.65644171779141,
413, 601, 263, 0, 28.897338403041825, 100.0, 23.31288343558282,
414, 1203, 527, 0, 28.842504743833018, 100.0, 23.31288343558282,
415, 1203, 527, 0, 28.842504743833018, 100.0, 23.31288343558282,
416, 2407, 1055, 0, 28.81516587677725, 100.0, 23.31288343558282,
417, 4553, 2111, 0, 28.801515869256278, 100.0, 23.31288343558282,
418, 605, 265, 0, 3.6792452830188678, 12.5, 2.972560975609756,
419, 949, 531, 0, 3.672316384180791, 12.5, 2.972560975609756,
420, 605, 265, 0, 7.3584905660377355, 25.0, 5.945121951219512,
421, 949, 531, 0, 7.344632768361582, 25.0, 5.945121951219512,
422, 605, 265, 0, 14.716981132075471, 50.0, 11.890243902439025,
423, 949, 531, 0, 14.689265536723164, 50.0, 11.890243902439025,
424, 605, 265, 0, 29.433962264150942, 100.0, 23.78048780487805,
425, 1211, 531, 0, 29.37853107344633, 100.0, 23.78048780487805,
426, 1211, 531, 0, 29.37853107344633, 100.0, 23.78048780487805,
427, 2423, 1063, 0, 29.350893697083727, 100.0, 23.78048780487805,
428, 4585, 2127, 0, 29.337094499294782, 100.0, 23.78048780487805,
429, 609, 267, 0, 3.745318352059925, 12.5, 3.0303030303030303,
430, 957, 535, 0, 3.7383177570093458, 12.5, 3.0303030303030303,
431, 609, 267, 0, 7.49063670411985, 25.0, 6.0606060606060606,
432, 957, 535, 0, 7.4766355140186915, 25.0, 6.0606060606060606,
433, 609, 267, 0, 14.9812734082397, 50.0, 12.121212121212121,
434, 957, 535, 0, 14.953271028037383, 50.0, 12.121212121212121,
435, 609, 267, 0, 29.9625468164794, 100.0, 24.242424242424242,
436, 1219, 535, 0, 29.906542056074766, 100.0, 24.242424242424242,
437, 1219, 535, 0, 29.906542056074766, 100.0, 24.242424242424242,
438, 2439, 1071, 0, 29.878618113912232, 100.0, 24.242424242424242,
439, 4617, 2143, 0, 29.86467568828745, 100.0, 24.24242424242423,
440, 613, 269, 0, 3.8104089219330857, 12.5, 3.087349397590361,
441, 965, 539, 0, 3.803339517625232, 12.5, 3.087349397590361,
442, 613, 269, 0, 7.620817843866171, 25.0, 6.174698795180722,
443, 965, 539, 0, 7.606679035250464, 25.0, 6.174698795180722,
444, 613, 269, 0, 15.241635687732343, 50.0, 12.349397590361445,
445, 965, 539, 0, 15.213358070500927, 50.0, 12.349397590361445,
446, 613, 269, 0, 30.483271375464685, 100.0, 24.69879518072289,
447, 1227, 539, 0, 30.426716141001855, 100.0, 24.69879518072289,
448, 1227, 539, 0, 30.426716141001855, 100.0, 24.69879518072289,
449, 2455, 1079, 0, 30.398517145505096, 100.0, 24.69879518072289,
450, 4649, 2159, 0, 30.384437239462713, 100.0, 24.69879518072289,
451, 617, 271, 0, 3.874538745387454, 12.5, 3.143712574850299,
452, 973, 543, 0, 3.867403314917127, 12.5, 3.143712574850299,
453, 617, 271, 0, 7.749077490774908, 25.0, 6.287425149700598,
454, 973, 543, 0, 7.734806629834254, 25.0, 6.287425149700598,
455, 617, 271, 0, 15.498154981549815, 50.0, 12.574850299401197,
456, 973, 543, 0, 15.469613259668508, 50.0, 12.574850299401197,
457, 617, 271, 0, 30.99630996309963, 100.0, 25.149700598802394,
458, 1235, 543, 0, 30.939226519337016, 100.0, 25.149700598802394,
459, 1235, 543, 0, 30.939226519337016, 100.0, 25.149700598802394,
460, 2471, 1087, 0, 30.91076356945722, 100.0, 25.149700598802394,
461, 4681, 2175, 0, 30.896551724137932, 100.0, 25.149700598802394,
462, 621, 273, 0, 3.937728937728938, 12.5, 3.199404761904762,
463, 981, 547, 0, 3.930530164533821, 12.5, 3.199404761904762,
464, 621, 273, 0, 7.875457875457876, 25.0, 6.398809523809524,
465, 981, 547, 0, 7.861060329067642, 25.0, 6.398809523809524,
466, 621, 273, 0, 15.750915750915752, 50.0, 12.797619047619047,
